step,time,kinetic,potential,total,Px,Py
0,0,0.0945874,-0.11485,-0.020263,4.96022e-18,7.80626e-18
50,0.1,0.0959775,-0.116221,-0.0202434,1.30884e-06,-7.23569e-06
100,0.2,0.100388,-0.120608,-0.02022,-1.11513e-06,-1.19989e-05
150,0.3,0.107877,-0.128081,-0.0202038,5.34866e-06,-2.36409e-05
200,0.4,0.118563,-0.138759,-0.0201953,3.66276e-06,-3.73782e-05
250,0.5,0.132621,-0.152818,-0.0201965,2.87214e-06,-4.66492e-05
300,0.6,0.150281,-0.170489,-0.0202076,1.16661e-06,-4.56454e-05
350,0.7,0.171867,-0.192056,-0.0201892,1.20111e-05,-4.96772e-05
400,0.8,0.197678,-0.217842,-0.0201645,2.36303e-05,-5.86199e-05
450,0.9,0.228071,-0.248187,-0.0201166,3.1967e-05,-8.3862e-05
500,1,0.263343,-0.283364,-0.0200216,2.47933e-05,-0.000101049
550,1.1,0.303438,-0.323382,-0.0199442,1.6046e-05,-0.000107119
600,1.2,0.347627,-0.367542,-0.0199156,3.03122e-05,-0.000139076
650,1.3,0.393769,-0.413681,-0.0199117,5.31193e-05,-0.000139631
700,1.4,0.437245,-0.457121,-0.0198769,6.16134e-05,-0.000154478
750,1.5,0.470716,-0.490466,-0.0197497,0.000113798,-0.000147844
800,1.6,0.486139,-0.50583,-0.0196915,0.000157112,-0.000127841
850,1.7,0.479776,-0.499375,-0.019599,0.000172957,-0.000143876
900,1.8,0.454262,-0.473917,-0.0196553,0.000164826,-0.000138118
950,1.9,0.416575,-0.436296,-0.0197209,0.000149753,-0.000134215
1000,2,0.373648,-0.393436,-0.0197874,0.000147745,-0.000140261
1050,2.1,0.330488,-0.350339,-0.0198507,0.000165797,-0.000173026
1100,2.2,0.289929,-0.309878,-0.0199492,0.000162664,-0.000172358
1150,2.3,0.253397,-0.273401,-0.0200039,0.000155736,-0.000151716
1200,2.4,0.221338,-0.241364,-0.0200258,0.000151049,-0.000162133
1250,2.5,0.193739,-0.213771,-0.0200322,0.00013398,-0.000179554
1300,2.6,0.170356,-0.190409,-0.0200532,0.000131198,-0.000180228
1350,2.7,0.150959,-0.171009,-0.020049,0.000126783,-0.000178693
1400,2.8,0.13525,-0.155315,-0.020065,0.000121009,-0.000186186
1450,2.9,0.123024,-0.143108,-0.0200845,0.000113829,-0.000193316
1500,3,0.114103,-0.134209,-0.0201057,0.000105962,-0.000204014
1550,3.1,0.108342,-0.128471,-0.020129,0.000117076,-0.000224562
1600,3.2,0.105662,-0.125794,-0.0201327,0.000116834,-0.000242047
1650,3.3,0.105998,-0.126127,-0.0201293,0.000111088,-0.000247336
1700,3.4,0.109309,-0.129432,-0.020123,9.03181e-05,-0.000252554
1750,3.5,0.115576,-0.135693,-0.0201173,8.80056e-05,-0.000262941
1800,3.6,0.124785,-0.144898,-0.0201133,7.41095e-05,-0.000276572
1850,3.7,0.136869,-0.15698,-0.0201109,5.1878e-05,-0.00029437
1900,3.8,0.151713,-0.171816,-0.0201038,5.30156e-05,-0.000312089
1950,3.9,0.169268,-0.189344,-0.0200761,4.1669e-05,-0.000318316
2000,4,0.189571,-0.209609,-0.0200379,3.58815e-05,-0.000335184
2050,4.1,0.212683,-0.232685,-0.0200017,3.97247e-05,-0.000366764
2100,4.2,0.238654,-0.258634,-0.0199801,5.08979e-05,-0.000378511
2150,4.3,0.267437,-0.287341,-0.0199039,4.36133e-05,-0.000415173
2200,4.4,0.298517,-0.318332,-0.0198158,2.31255e-05,-0.000428908
2250,4.5,0.330358,-0.350097,-0.0197392,-1.04797e-05,-0.000442535
2300,4.6,0.359987,-0.379664,-0.0196763,-2.85988e-05,-0.000429583
2350,4.7,0.385629,-0.40528,-0.0196506,-2.21631e-05,-0.000447168
2400,4.8,0.405596,-0.425154,-0.0195577,-4.56608e-05,-0.00046905
2450,4.9,0.417705,-0.437154,-0.0194485,-3.95734e-05,-0.000491145
2500,5,0.42022,-0.439661,-0.0194418,-2.46308e-05,-0.000484905
2550,5.1,0.412166,-0.431627,-0.0194609,-2.8097e-05,-0.000470905
2600,5.2,0.394174,-0.413658,-0.0194842,-2.47162e-05,-0.000466134
2650,5.3,0.368455,-0.387993,-0.0195383,-8.11753e-05,-0.000448673
2700,5.4,0.338428,-0.358036,-0.0196078,-0.000134063,-0.000398926
2750,5.5,0.307446,-0.327126,-0.0196805,-0.000144522,-0.000353866
2800,5.6,0.277565,-0.297313,-0.0197477,-0.000195652,-0.000352039
2850,5.7,0.249909,-0.269749,-0.01984,-0.000237428,-0.000338391
2900,5.8,0.225103,-0.245036,-0.0199327,-0.000271765,-0.00033051
2950,5.9,0.20353,-0.223474,-0.0199441,-0.000276196,-0.000326128
3000,6,0.185169,-0.205111,-0.0199424,-0.000289918,-0.000329602
3050,6.1,0.169907,-0.189874,-0.0199677,-0.000318801,-0.000340551
3100,6.2,0.157613,-0.17761,-0.0199968,-0.000335191,-0.000340508
3150,6.3,0.148151,-0.168139,-0.019988,-0.000346393,-0.000303123
3200,6.4,0.141358,-0.161339,-0.0199815,-0.000367201,-0.000285418
3250,6.5,0.13709,-0.157068,-0.019978,-0.000389443,-0.000248858
3300,6.6,0.1352,-0.155156,-0.0199555,-0.00037684,-0.000186904
3350,6.7,0.135534,-0.155469,-0.0199342,-0.000379158,-0.000144672
3400,6.8,0.137991,-0.157897,-0.0199052,-0.000366795,-0.000111504
3450,6.9,0.142668,-0.162542,-0.0198734,-0.000355197,-0.000121487
3500,7,0.149737,-0.169581,-0.0198433,-0.000354279,-0.000118979
3550,7.1,0.159258,-0.179103,-0.0198444,-0.000355349,-0.000119609
3600,7.2,0.171463,-0.191291,-0.0198283,-0.000352604,-9.00064e-05
3650,7.3,0.186306,-0.206134,-0.0198281,-0.000388885,-7.81511e-05
3700,7.4,0.203486,-0.223298,-0.0198112,-0.000471658,-2.27183e-05
3750,7.5,0.222124,-0.24193,-0.0198056,-0.000511749,2.1031e-05
3800,7.6,0.241073,-0.260877,-0.0198035,-0.000542709,2.40879e-05
3850,7.7,0.259848,-0.279625,-0.0197769,-0.000597614,5.68245e-05
3900,7.8,0.278448,-0.298207,-0.0197589,-0.000603803,5.04404e-05
3950,7.9,0.296623,-0.316384,-0.019761,-0.000611157,3.70211e-05
4000,8,0.313321,-0.333023,-0.0197021,-0.000666224,2.94744e-05
4050,8.1,0.327846,-0.347532,-0.0196856,-0.000690375,-2.7277e-06
4100,8.2,0.339542,-0.359235,-0.0196933,-0.00070419,-4.37067e-05
4150,8.3,0.347401,-0.36704,-0.0196383,-0.000717998,-6.09684e-05
4200,8.4,0.350694,-0.370305,-0.0196106,-0.000683901,-6.37115e-05
4250,8.5,0.349322,-0.368934,-0.0196123,-0.000663418,-5.41575e-05
4300,8.6,0.343398,-0.362992,-0.0195935,-0.0006254,-6.65341e-05
4350,8.7,0.332967,-0.352585,-0.0196178,-0.00059565,-4.79821e-05
4400,8.8,0.319165,-0.33875,-0.0195854,-0.000574048,-6.40335e-05
4450,8.9,0.303015,-0.322605,-0.0195897,-0.000559237,-6.27137e-05
4500,9,0.285773,-0.305362,-0.0195891,-0.000563899,-7.2035e-05
4550,9.1,0.268347,-0.287941,-0.0195947,-0.000546625,-6.2578e-05
4600,9.2,0.251606,-0.271216,-0.0196102,-0.000521482,-3.82915e-05
4650,9.3,0.236511,-0.256123,-0.0196112,-0.000505753,-2.1475e-05
4700,9.4,0.223464,-0.243073,-0.0196087,-0.0004739,-2.34354e-05
4750,9.5,0.212491,-0.232115,-0.0196248,-0.000469028,-5.54313e-05
4800,9.6,0.203587,-0.223226,-0.0196389,-0.000430878,-6.50905e-05
4850,9.7,0.196618,-0.216252,-0.0196341,-0.00039372,-6.60706e-05
4900,9.8,0.191427,-0.211059,-0.0196318,-0.00033567,-9.80983e-05
4950,9.9,0.188054,-0.207691,-0.0196362,-0.000283806,-0.000101812
5000,10,0.186222,-0.205831,-0.0196089,-0.000204226,-9.53951e-05
5050,10.1,0.185653,-0.205238,-0.0195845,-0.000177483,-9.79015e-05
5100,10.2,0.186078,-0.205682,-0.0196039,-0.000170388,-7.68205e-05
5150,10.3,0.1874,-0.207008,-0.0196075,-0.00018563,-3.05716e-05
5200,10.4,0.190102,-0.209693,-0.0195906,-0.00018388,-1.69463e-05
5250,10.5,0.194292,-0.213887,-0.0195945,-0.000166552,-4.46362e-06
5300,10.6,0.199852,-0.219432,-0.0195794,-0.000165597,3.28317e-06
5350,10.7,0.206552,-0.226125,-0.0195732,-0.000165275,1.77908e-05
5400,10.8,0.214063,-0.233642,-0.0195793,-0.000156899,2.0485e-05
5450,10.9,0.222165,-0.241734,-0.0195682,-0.000123975,5.12697e-05
5500,11,0.230336,-0.24988,-0.019544,-9.60214e-05,7.55509e-05
5550,11.1,0.238013,-0.257562,-0.0195486,-0.000115782,6.92686e-05
5600,11.2,0.244973,-0.264529,-0.0195562,-0.00014584,5.50423e-05
5650,11.3,0.251264,-0.270822,-0.0195575,-0.000147159,4.59922e-05
5700,11.4,0.25701,-0.276538,-0.0195278,-0.000131232,3.2747e-05
5750,11.5,0.262354,-0.281851,-0.0194967,-0.000139162,4.60238e-05
5800,11.6,0.267159,-0.28661,-0.0194504,-0.000165108,8.53114e-05
