step,time,kinetic,potential,total,Px,Py
0,0,0.0945874,-0.11485,-0.020263,4.96022e-18,7.80626e-18
20,0.04,0.0947754,-0.115038,-0.020263,1.21973e-18,-3.25261e-19
40,0.08,0.0954417,-0.115705,-0.020263,6.34258e-18,-1.30104e-18
60,0.12,0.0965878,-0.116851,-0.020263,-3.14419e-18,-1.38236e-18
80,0.16,0.0982168,-0.11848,-0.020263,-7.88757e-18,8.42967e-18
100,0.2,0.100333,-0.120596,-0.020263,-4.2826e-18,-4.44523e-18
120,0.24,0.102941,-0.123204,-0.020263,5.52943e-18,-5.80048e-18
140,0.28,0.106048,-0.126311,-0.020263,-2.92735e-18,-6.31548e-18
160,0.32,0.109662,-0.129925,-0.020263,-1.11131e-17,-1.48536e-17
180,0.36,0.113793,-0.134056,-0.020263,2.54788e-18,-1.28478e-17
200,0.4,0.118452,-0.138715,-0.020263,-6.77626e-18,-1.22515e-17
220,0.44,0.12365,-0.143913,-0.020263,-7.37257e-18,-1.02593e-17
240,0.48,0.129402,-0.149665,-0.020263,-2.23346e-17,-4.66207e-18
260,0.52,0.135723,-0.155986,-0.020263,-1.47451e-17,1.16145e-17
280,0.56,0.142628,-0.162891,-0.020263,-1.50704e-17,5.6514e-18
300,0.6,0.150136,-0.170399,-0.020263,-6.88468e-18,-3.5101e-18
320,0.64,0.158265,-0.178528,-0.020263,-1.61546e-17,-5.40746e-18
340,0.68,0.167037,-0.1873,-0.020263,-2.38524e-17,-7.02699e-18
360,0.72,0.17647,-0.196733,-0.020263,-9.21572e-18,-1.79944e-17
380,0.76,0.186587,-0.20685,-0.020263,-2.23346e-17,-8.62248e-18
400,0.8,0.197411,-0.217674,-0.020263,-2.40693e-17,-1.04321e-17
420,0.84,0.208961,-0.229224,-0.020263,-9.54098e-18,-3.02628e-17
440,0.88,0.22126,-0.241523,-0.020263,-2.43945e-17,-3.54399e-17
460,0.92,0.234324,-0.254587,-0.020263,-2.76472e-17,-3.5616e-17
480,0.96,0.248166,-0.268429,-0.020263,-3.51282e-17,-2.53297e-17
500,1,0.262793,-0.283056,-0.020263,-1.4962e-17,-2.51535e-17
520,1.04,0.278199,-0.298463,-0.020263,-2.74303e-17,-3.05745e-17
540,1.08,0.294363,-0.314626,-0.0202631,-2.41777e-17,-3.24448e-17
560,1.12,0.311236,-0.331499,-0.0202631,-2.62377e-17,-4.10099e-17
580,1.16,0.328744,-0.349007,-0.0202631,-2.32019e-17,-4.32597e-17
