step,time,kinetic,potential,total,Px,Py
0,0,0.0945874,-0.11485,-0.020263,4.96022e-18,7.80626e-18
50,0.1,0.0959546,-0.116218,-0.020263,-1.76183e-18,4.60786e-19
100,0.2,0.100333,-0.120596,-0.020263,-4.2826e-18,-4.44523e-18
150,0.3,0.107791,-0.128054,-0.020263,-4.87891e-19,-1.63986e-17
200,0.4,0.118452,-0.138715,-0.020263,-6.77626e-18,-1.22515e-17
250,0.5,0.13249,-0.152753,-0.020263,-9.54098e-18,5.58364e-18
300,0.6,0.150136,-0.170399,-0.020263,-6.88468e-18,-3.5101e-18
350,0.7,0.171669,-0.191932,-0.020263,-1.22515e-17,-1.0781e-17
400,0.8,0.197411,-0.217674,-0.020263,-2.40693e-17,-1.04321e-17
450,0.9,0.227695,-0.247958,-0.020263,-3.18755e-17,-3.22144e-17
500,1,0.262793,-0.283056,-0.020263,-1.4962e-17,-2.51535e-17
550,1.1,0.302715,-0.322978,-0.0202631,-1.9082e-17,-3.59955e-17
600,1.2,0.346768,-0.367031,-0.0202632,-2.62377e-17,-3.90855e-17
650,1.3,0.392803,-0.413067,-0.0202634,-3.40439e-17,-4.21213e-17
700,1.4,0.43618,-0.456444,-0.0202637,-1.88651e-17,-8.67362e-18
750,1.5,0.469564,-0.489828,-0.020264,-1.10589e-17,-1.72388e-17
800,1.6,0.485127,-0.505391,-0.0202641,-1.73472e-17,-7.14489e-17
850,1.7,0.478973,-0.499237,-0.020264,-8.45678e-18,-4.77049e-17
900,1.8,0.453801,-0.474065,-0.0202638,-1.73472e-18,-2.68882e-17
950,1.9,0.416393,-0.436657,-0.0202635,-1.63715e-17,-2.86229e-17
1000,2,0.373658,-0.393922,-0.0202633,-6.62719e-18,-2.21177e-17
1050,2.1,0.330614,-0.350877,-0.0202631,-1.3146e-18,-4.21755e-17
1100,2.2,0.290159,-0.310422,-0.0202631,-5.85469e-18,-1.33357e-17
1150,2.3,0.253658,-0.273921,-0.020263,1.39862e-17,-1.32273e-17
1200,2.4,0.221583,-0.241846,-0.020263,1.02999e-17,-2.60751e-17
1250,2.5,0.193944,-0.214207,-0.020263,3.33934e-17,-2.25514e-17
1300,2.6,0.170533,-0.190796,-0.020263,2.39609e-17,-3.60497e-17
1350,2.7,0.151084,-0.171347,-0.020263,3.27429e-17,-2.74845e-17
1400,2.8,0.135345,-0.155608,-0.020263,2.76472e-17,-2.5289e-17
1450,2.9,0.123093,-0.143356,-0.020263,1.12757e-17,-3.06965e-17
1500,3,0.114146,-0.134409,-0.020263,2.21177e-17,-3.45589e-17
1550,3.1,0.108357,-0.12862,-0.020263,2.87314e-17,-3.56025e-17
1600,3.2,0.105627,-0.12589,-0.020263,3.16587e-17,-4.63225e-17
1650,3.3,0.105904,-0.126167,-0.020263,2.22261e-17,-5.30175e-17
1700,3.4,0.109153,-0.129416,-0.020263,2.85145e-17,-3.06287e-17
1750,3.5,0.115355,-0.135618,-0.020263,3.79471e-17,-3.85434e-17
1800,3.6,0.124497,-0.14476,-0.020263,3.4586e-17,-4.77049e-17
1850,3.7,0.136515,-0.156778,-0.020263,2.68882e-17,-4.26091e-17
1900,3.8,0.151287,-0.171551,-0.020263,2.93819e-17,-4.70544e-17
1950,3.9,0.168739,-0.189002,-0.0202631,2.90566e-17,-4.39102e-17
2000,4,0.188909,-0.209172,-0.0202631,9.43256e-18,-6.245e-17
2050,4.1,0.21188,-0.232143,-0.0202631,1.47451e-17,-7.75205e-17
2100,4.2,0.237716,-0.257979,-0.0202631,7.18284e-18,-8.21825e-17
2150,4.3,0.266302,-0.286565,-0.0202631,5.42101e-18,-8.51099e-17
2200,4.4,0.297187,-0.31745,-0.0202632,-5.31259e-18,-7.35089e-17
2250,4.5,0.328952,-0.349215,-0.0202633,5.31259e-18,-7.53521e-17
2300,4.6,0.358635,-0.378898,-0.0202634,2.26598e-17,-6.88468e-17
2350,4.7,0.384379,-0.404642,-0.0202635,2.26598e-17,-7.92552e-17
2400,4.8,0.404405,-0.424668,-0.0202636,3.70797e-17,-6.7329e-17
2450,4.9,0.416588,-0.436852,-0.0202636,2.51535e-17,-6.85216e-17
2500,5,0.419395,-0.439659,-0.0202637,3.46945e-18,-6.76e-17
2550,5.1,0.411762,-0.432026,-0.0202636,8.0231e-18,-4.43032e-17
2600,5.2,0.39418,-0.414443,-0.0202636,3.10082e-17,-6.01868e-17
2650,5.3,0.36882,-0.389084,-0.0202634,2.42861e-17,-8.15862e-17
2700,5.4,0.33903,-0.359293,-0.0202633,3.10082e-17,-5.58364e-17
2750,5.5,0.308143,-0.328406,-0.0202632,3.68629e-17,-3.48029e-17
2800,5.6,0.278262,-0.298525,-0.0202631,1.85399e-17,-4.06576e-17
2850,5.7,0.250584,-0.270848,-0.0202631,2.60209e-18,-2.9924e-17
2900,5.8,0.225735,-0.245998,-0.0202631,1.82688e-17,-3.42608e-17
2950,5.9,0.204023,-0.224286,-0.020263,1.14383e-17,-3.11166e-17
3000,6,0.185511,-0.205774,-0.020263,2.16027e-17,-3.11166e-17
3050,6.1,0.170133,-0.190396,-0.020263,2.05253e-17,-4.46691e-17
3100,6.2,0.157733,-0.177997,-0.020263,2.28767e-17,-4.99817e-17
3150,6.3,0.148141,-0.168404,-0.020263,2.35814e-17,-5.42101e-17
3200,6.4,0.141213,-0.161476,-0.020263,1.75099e-17,-6.451e-17
3250,6.5,0.136802,-0.157065,-0.0202631,3.29597e-17,-4.54281e-17
3300,6.6,0.13475,-0.155013,-0.0202631,4.2067e-17,-4.40186e-17
3350,6.7,0.134945,-0.155209,-0.0202631,4.03323e-17,-4.84638e-17
3400,6.8,0.137303,-0.157566,-0.0202631,3.65376e-17,-4.79217e-17
3450,6.9,0.141882,-0.162145,-0.0202631,4.27176e-17,-5.25838e-17
3500,7,0.14886,-0.169123,-0.0202631,3.92481e-17,-5.33427e-17
3550,7.1,0.1583,-0.178563,-0.0202631,3.88144e-17,-2.76472e-17
3600,7.2,0.170404,-0.190667,-0.0202631,3.50197e-17,-4.10371e-17
3650,7.3,0.185175,-0.205439,-0.0202631,1.61546e-17,-3.52366e-17
3700,7.4,0.202347,-0.22261,-0.0202631,2.21177e-17,-4.07524e-17
3750,7.5,0.221141,-0.241404,-0.0202632,1.89735e-17,-4.35443e-17
3800,7.6,0.240405,-0.260668,-0.0202632,3.33934e-17,-3.81639e-17
3850,7.7,0.259426,-0.279689,-0.0202632,2.95987e-17,-3.85976e-17
3900,7.8,0.278213,-0.298476,-0.0202632,2.05998e-17,-4.6946e-17
3950,7.9,0.2966,-0.316864,-0.0202633,2.37982e-17,-2.9165e-17
4000,8,0.31337,-0.333633,-0.0202633,3.07913e-17,-4.2067e-17
4050,8.1,0.327925,-0.348188,-0.0202633,5.09575e-17,-3.90313e-17
4100,8.2,0.339642,-0.359906,-0.0202634,5.02867e-17,-2.66714e-17
4150,8.3,0.34737,-0.367633,-0.0202634,2.56617e-17,-1.19262e-17
4200,8.4,0.350498,-0.370761,-0.0202634,3.66731e-17,-9.97466e-18
4250,8.5,0.348945,-0.369209,-0.0202634,2.4774e-17,-2.27682e-17
4300,8.6,0.342881,-0.363144,-0.0202634,1.85941e-17,-5.46438e-17
4350,8.7,0.332472,-0.352736,-0.0202634,3.03577e-18,-4.32597e-17
4400,8.8,0.318688,-0.338951,-0.0202633,-1.0842e-19,-3.9465e-17
4450,8.9,0.302529,-0.322792,-0.0202633,-1.95156e-18,-4.44523e-17
4500,9,0.285193,-0.305456,-0.0202632,-1.8323e-17,-2.22261e-17
4550,9.1,0.267769,-0.288032,-0.0202632,-1.1601e-17,-4.4127e-17
4600,9.2,0.250994,-0.271258,-0.0202631,-1.06252e-17,-5.73001e-17
4650,9.3,0.235838,-0.256102,-0.0202631,-1.81062e-17,-4.16876e-17
4700,9.4,0.222748,-0.243011,-0.0202631,-2.25514e-17,-6.51944e-17
4750,9.5,0.211767,-0.232031,-0.0202631,-2.52619e-17,-4.52925e-17
4800,9.6,0.202883,-0.223146,-0.0202631,-2.08167e-17,-3.95192e-17
4850,9.7,0.195984,-0.216247,-0.0202631,-2.90566e-17,-4.16334e-17
4900,9.8,0.190972,-0.211235,-0.0202631,-4.21755e-17,-3.02492e-17
4950,9.9,0.187858,-0.208121,-0.0202631,-1.81062e-17,-3.03577e-17
5000,10,0.186276,-0.206539,-0.0202631,-3.79471e-17,-3.51282e-17
5050,10.1,0.185947,-0.20621,-0.0202631,-2.00577e-17,-3.40439e-17
5100,10.2,0.186673,-0.206936,-0.0202631,-2.54788e-17,-1.71304e-17
5150,10.3,0.188352,-0.208616,-0.0202631,-3.5345e-17,-1.77809e-17
5200,10.4,0.191296,-0.211559,-0.0202631,-1.00831e-17,-2.42861e-17
5250,10.5,0.195772,-0.216036,-0.0202631,-1.31188e-17,-2.90566e-17
5300,10.6,0.20159,-0.221853,-0.0202631,-2.29715e-17,-4.01155e-17
5350,10.7,0.208364,-0.228627,-0.0202632,-3.73779e-17,-3.68629e-17
5400,10.8,0.215757,-0.23602,-0.0202632,-1.61546e-17,-2.90566e-17
5450,10.9,0.223448,-0.243712,-0.0202632,-3.25261e-18,-2.90566e-17
5500,11,0.231084,-0.251347,-0.0202632,-1.69136e-17,-3.68629e-17
5550,11.1,0.23826,-0.258523,-0.0202632,-1.1601e-17,-3.17671e-17
5600,11.2,0.244584,-0.264847,-0.0202632,9.86624e-18,-5.61075e-17
5650,11.3,0.250321,-0.270584,-0.0202632,-1.30104e-18,-4.71221e-17
5700,11.4,0.25567,-0.275934,-0.0202632,1.6263e-17,-3.31224e-17
5750,11.5,0.260896,-0.281159,-0.0202632,1.88651e-17,-1.10047e-17
5800,11.6,0.265439,-0.285703,-0.0202632,1.53957e-17,-4.11997e-17
5850,11.7,0.269071,-0.289334,-0.0202632,2.84061e-17,-2.7864e-17
5900,11.8,0.27201,-0.292273,-0.0202632,4.33681e-18,-8.0231e-18
5950,11.9,0.274217,-0.29448,-0.0202632,-6.72205e-18,-4.38018e-17
6000,12,0.275905,-0.296168,-0.0202632,-8.67362e-19,-1.10589e-17
6050,12.1,0.276788,-0.297051,-0.0202632,-1.23599e-17,-3.07913e-17
6100,12.2,0.276599,-0.296862,-0.0202633,4.77049e-18,-4.11997e-17
6150,12.3,0.274654,-0.294917,-0.0202633,1.64799e-17,1.34441e-17
6200,12.4,0.271252,-0.291515,-0.0202632,1.38236e-17,-2.90566e-17
6250,12.5,0.266755,-0.287018,-0.0202632,-5.53621e-18,-3.36103e-17
6300,12.6,0.261755,-0.282019,-0.0202632,-1.37152e-17,6.72205e-18
6350,12.7,0.256943,-0.277206,-0.0202632,1.21431e-17,1.30104e-17
6400,12.8,0.252671,-0.272935,-0.0202632,-1.84314e-17,-5.63785e-18
6450,12.9,0.248755,-0.269018,-0.0202632,-2.26598e-17,2.22261e-17
6500,13,0.244774,-0.265037,-0.0202632,-2.38524e-17,5.52943e-18
6550,13.1,0.240561,-0.260824,-0.0202632,-4.66207e-17,7.04731e-18
6600,13.2,0.236178,-0.256441,-0.0202632,-2.5804e-17,-2.19551e-18
6650,13.3,0.231784,-0.252047,-0.0202632,-3.03577e-17,4.01392e-17
6700,13.4,0.227774,-0.248037,-0.0202632,-3.5345e-17,9.59519e-18
6750,13.5,0.224321,-0.244584,-0.0202632,-2.88398e-17,1.47994e-17
6800,13.6,0.221693,-0.241956,-0.0202631,-1.04083e-17,3.56703e-17
6850,13.7,0.220322,-0.240585,-0.0202631,-4.11997e-17,1.4962e-17
6900,13.8,0.220423,-0.240686,-0.0202631,-3.72966e-17,8.67362e-18
6950,13.9,0.221797,-0.24206,-0.0202631,-4.97649e-17,-8.0231e-18
7000,14,0.224359,-0.244622,-0.0202631,-4.34765e-17,-4.33681e-18
7050,14.1,0.227907,-0.24817,-0.0202632,-4.62954e-17,-3.72966e-17
7100,14.2,0.232227,-0.25249,-0.0202632,-6.06611e-17,-3.16587e-17
7150,14.3,0.237058,-0.257321,-0.0202632,-7.54944e-17,-2.10335e-17
7200,14.4,0.242357,-0.26262,-0.0202632,-6.348e-17,-6.50521e-19
7250,14.5,0.247845,-0.268108,-0.0202632,-7.58942e-17,3.03577e-18
7300,14.6,0.252688,-0.272952,-0.0202633,-7.28584e-17,-1.38778e-17
7350,14.7,0.256167,-0.27643,-0.0202633,-6.41848e-17,-9.32414e-18
7400,14.8,0.258358,-0.278621,-0.0202632,-7.87131e-17,-1.38778e-17
7450,14.9,0.259367,-0.279631,-0.0202633,-7.7412e-17,5.74627e-18
7500,15,0.258979,-0.279242,-0.0202633,-1.07119e-16,2.46656e-17
7550,15.1,0.257433,-0.277696,-0.0202632,-1.04734e-16,-5.69206e-19
7600,15.2,0.255083,-0.275347,-0.0202632,-9.69277e-17,2.20229e-17
7650,15.3,0.252283,-0.272547,-0.0202632,-8.6953e-17,2.40151e-17
7700,15.4,0.249155,-0.269418,-0.0202632,-8.99888e-17,1.71304e-17
7750,15.5,0.245959,-0.266222,-0.0202632,-9.6494e-17,5.38848e-17
7800,15.6,0.242824,-0.263087,-0.0202632,-9.9855e-17,1.39862e-17
7850,15.7,0.239889,-0.260152,-0.0202632,-1.06794e-16,3.25261e-17
7900,15.8,0.237387,-0.25765,-0.0202632,-1.06089e-16,4.0766e-17
7950,15.9,0.235526,-0.25579,-0.0202632,-1.06442e-16,2.90566e-17
8000,16,0.234464,-0.254727,-0.0202632,-1.27516e-16,2.9924e-17
8050,16.1,0.233559,-0.253822,-0.0202632,-1.21214e-16,9.1073e-18
8100,16.2,0.232461,-0.252724,-0.0202632,-1.03108e-16,3.90313e-17
8150,16.3,0.231648,-0.251912,-0.0202632,-1.07987e-16,2.84061e-17
8200,16.4,0.231208,-0.251471,-0.0202632,-1.27068e-16,4.60786e-17
8250,16.5,0.231338,-0.251601,-0.0202632,-9.7795e-17,2.63461e-17
8300,16.6,0.232216,-0.252479,-0.0202632,-1.35959e-16,5.5728e-17
8350,16.7,0.233692,-0.253955,-0.0202632,-1.34007e-16,4.81928e-17
8400,16.8,0.23564,-0.255903,-0.0202632,-1.12757e-16,5.87502e-17
8450,16.9,0.238067,-0.25833,-0.0202632,-1.50487e-16,9.26993e-18
8500,17,0.240998,-0.261261,-0.0202632,-1.06469e-16,2.62919e-17
8550,17.1,0.244187,-0.26445,-0.0202632,-1.31839e-16,9.97466e-18
8600,17.2,0.247297,-0.26756,-0.0202632,-1.19913e-16,8.0231e-18
8650,17.3,0.249793,-0.270056,-0.0202632,-1.14925e-16,5.68122e-17
