step,time,kinetic,potential,total,Px,Py
0,0,0.0945874,-0.11485,-0.020263,4.96022e-18,7.80626e-18
50,0.1,0.0959769,-0.116232,-0.0202553,2.90661e-10,-2.49448e-10
100,0.2,0.100426,-0.120655,-0.0202288,6.07489e-10,-2.91487e-10
150,0.3,0.108009,-0.128191,-0.0201816,1.16412e-09,-1.7535e-10
200,0.4,0.118855,-0.138965,-0.0201098,1.37676e-09,-4.60651e-10
250,0.5,0.133148,-0.153161,-0.0200125,1.03771e-09,-2.3571e-10
300,0.6,0.151133,-0.171016,-0.0198834,1.1035e-09,-3.34576e-10
350,0.7,0.173112,-0.192824,-0.0197118,1.12751e-09,-1.74914e-10
400,0.8,0.199434,-0.218921,-0.0194874,1.54463e-09,1.0987e-10
450,0.9,0.230474,-0.249665,-0.0191911,1.94306e-09,2.86557e-10
500,1,0.266563,-0.285353,-0.0187906,2.2559e-09,9.39934e-10
550,1.1,0.307749,-0.326014,-0.0182652,2.33139e-09,1.2893e-09
600,1.2,0.353346,-0.370939,-0.0175926,2.08817e-09,1.54186e-09
650,1.3,0.401111,-0.417865,-0.0167541,1.0162e-09,1.49737e-09
700,1.4,0.445987,-0.461873,-0.0158851,1.04659e-09,8.07915e-10
750,1.5,0.480046,-0.495244,-0.0151982,6.51975e-10,9.35532e-10
800,1.6,0.494933,-0.509911,-0.0149782,4.6702e-10,5.76246e-10
850,1.7,0.486877,-0.502196,-0.0153189,7.91205e-10,1.52423e-09
900,1.8,0.459313,-0.475349,-0.0160369,8.25689e-10,1.78254e-09
950,1.9,0.419707,-0.436596,-0.016889,4.54075e-10,2.05141e-09
1000,2,0.375284,-0.392984,-0.0176999,1.11541e-09,2.14142e-09
1050,2.1,0.331065,-0.349473,-0.0184087,8.1199e-10,1.90771e-09
1100,2.2,0.289863,-0.308845,-0.0189817,1.03306e-09,1.40401e-09
1150,2.3,0.252937,-0.27236,-0.0194226,1.33785e-09,1.08352e-09
1200,2.4,0.220653,-0.240414,-0.0197612,1.45412e-09,7.51145e-10
1250,2.5,0.192946,-0.212963,-0.0200161,1.74643e-09,7.21327e-10
1300,2.6,0.169569,-0.189777,-0.0202079,1.64113e-09,9.59707e-10
1350,2.7,0.150239,-0.17059,-0.0203501,2.08066e-09,9.8402e-10
1400,2.8,0.134685,-0.155138,-0.0204527,2.83542e-09,9.58648e-10
1450,2.9,0.122667,-0.143192,-0.0205246,3.67909e-09,1.13771e-09
1500,3,0.113993,-0.134563,-0.0205702,3.80726e-09,1.44639e-09
1550,3.1,0.108512,-0.129106,-0.0205935,3.77007e-09,1.74501e-09
1600,3.2,0.106124,-0.126722,-0.0205977,3.74594e-09,1.84548e-09
1650,3.3,0.106772,-0.127352,-0.0205803,3.71777e-09,1.87181e-09
1700,3.4,0.11041,-0.130955,-0.020545,3.72266e-09,2.36507e-09
1750,3.5,0.117024,-0.137517,-0.0204929,4.02731e-09,2.85692e-09
1800,3.6,0.126577,-0.146998,-0.0204215,4.11553e-09,3.69076e-09
1850,3.7,0.138995,-0.159325,-0.0203303,4.01288e-09,4.10318e-09
1900,3.8,0.154182,-0.174404,-0.0202221,2.62586e-09,4.34742e-09
1950,3.9,0.172122,-0.192211,-0.0200893,1.66747e-09,4.078e-09
2000,4,0.192875,-0.212802,-0.0199277,8.86205e-10,3.83527e-09
2050,4.1,0.216543,-0.236273,-0.0197301,3.35584e-10,2.83516e-09
2100,4.2,0.243184,-0.262689,-0.019505,6.35843e-10,2.5457e-09
2150,4.3,0.27268,-0.291916,-0.0192363,1.36578e-09,3.06315e-09
2200,4.4,0.304577,-0.323507,-0.0189302,1.82692e-09,2.81333e-09
2250,4.5,0.337096,-0.355704,-0.0186074,2.16908e-09,2.78323e-09
2300,4.6,0.367249,-0.385527,-0.0182787,2.21986e-09,2.01469e-09
2350,4.7,0.393218,-0.411202,-0.0179842,2.63338e-09,1.0599e-09
2400,4.8,0.41271,-0.430494,-0.0177842,2.23248e-09,2.09329e-09
2450,4.9,0.423687,-0.441344,-0.0176568,4.92271e-10,2.11189e-09
2500,5,0.424699,-0.44233,-0.0176305,8.36495e-10,1.40298e-09
2550,5.1,0.414747,-0.432498,-0.0177505,8.37483e-10,1.93548e-09
2600,5.2,0.394759,-0.412809,-0.0180502,5.03551e-10,1.69871e-09
2650,5.3,0.367431,-0.385885,-0.0184541,6.11931e-10,1.4934e-09
2700,5.4,0.336444,-0.355321,-0.0188773,4.90396e-10,1.49912e-09
2750,5.5,0.304911,-0.32418,-0.0192696,4.71476e-10,1.53611e-09
2800,5.6,0.274736,-0.294356,-0.0196196,1.14039e-09,1.72222e-09
2850,5.7,0.247013,-0.266919,-0.0199066,1.61511e-09,2.07713e-09
2900,5.8,0.222365,-0.242492,-0.0201275,2.25641e-09,2.15253e-09
2950,5.9,0.201049,-0.221343,-0.0202943,2.4146e-09,2.10307e-09
