operator,quantity,p,rel_err
P2M,potential,2,0.000154281
P2M,acceleration,2,0.00104409
P2M,potential,4,7.63873e-06
P2M,acceleration,4,7.58396e-05
P2M,potential,6,2.4693e-07
P2M,acceleration,6,3.48755e-06
P2M,potential,8,1.01973e-08
P2M,acceleration,8,1.70909e-07
P2M,potential,10,3.3639e-10
P2M,acceleration,10,6.59429e-09
M2L,potential,2,0.000786954
M2L,acceleration,2,0.0254135
M2L,potential,4,1.30952e-05
M2L,acceleration,4,0.000594297
M2L,potential,6,2.2135e-07
M2L,acceleration,6,1.47064e-05
M2L,potential,8,4.20116e-09
M2L,acceleration,8,3.46686e-07
M2L,potential,10,8.06457e-11
M2L,acceleration,10,7.88221e-09
M2M,potential,2,0.000512758
M2M,acceleration,2,0.00296146
M2M,potential,4,6.5112e-06
M2M,acceleration,4,5.70785e-05
M2M,potential,6,9.49167e-08
M2M,acceleration,6,1.18228e-06
M2M,potential,8,2.40771e-09
M2M,acceleration,8,3.13329e-08
M2M,potential,10,5.54754e-11
M2M,acceleration,10,1.02358e-09
L2L,potential,2,0.000288833
L2L,acceleration,2,0.0123263
L2L,potential,4,2.31255e-06
L2L,acceleration,4,0.000168065
L2L,potential,6,2.5888e-08
L2L,acceleration,6,2.27708e-06
L2L,potential,8,3.01678e-10
L2L,acceleration,8,3.1537e-08
L2L,potential,10,3.44362e-12
L2L,acceleration,10,4.44707e-10
