operator,quantity,p,rel_err
P2M,potential,2,1.82342e-05
P2M,acceleration,2,0.000207298
P2M,potential,4,1.79032e-06
P2M,acceleration,4,2.50257e-05
P2M,potential,6,5.81443e-08
P2M,acceleration,6,1.30435e-06
P2M,potential,8,2.4383e-10
P2M,acceleration,8,7.57902e-09
P2M,potential,10,1.96576e-11
P2M,acceleration,10,9.12707e-10
P2M,potential,12,4.61026e-13
P2M,acceleration,12,1.68137e-11
M2L,potential,2,0.000584888
M2L,acceleration,2,0.0260003
M2L,potential,4,9.10055e-06
M2L,acceleration,4,0.000600061
M2L,potential,6,1.21078e-07
M2L,acceleration,6,1.39569e-05
M2L,potential,8,1.97096e-09
M2L,acceleration,8,3.35643e-07
M2L,potential,10,4.46103e-11
M2L,acceleration,10,7.89204e-09
M2L,potential,12,8.35806e-13
M2L,acceleration,12,1.87988e-10
M2M,potential,2,0.0006814
M2M,acceleration,2,0.0059381
M2M,potential,4,8.38808e-06
M2M,acceleration,4,0.000141654
M2M,potential,6,1.64298e-07
M2M,acceleration,6,3.48969e-06
M2M,potential,8,4.19073e-09
M2M,acceleration,8,1.31403e-07
M2M,potential,10,2.54663e-10
M2M,acceleration,10,8.31916e-09
M2M,potential,12,1.57139e-11
M2M,acceleration,12,5.32016e-10
L2L,potential,2,0.000257528
L2L,acceleration,2,0.0170138
L2L,potential,4,2.86001e-06
L2L,acceleration,4,0.000299544
L2L,potential,6,3.24281e-08
L2L,acceleration,6,5.27371e-06
L2L,potential,8,5.32882e-10
L2L,acceleration,8,9.29077e-08
L2L,potential,10,4.81185e-12
L2L,acceleration,10,1.63939e-09
L2L,potential,12,1.21585e-13
L2L,acceleration,12,2.90131e-11
