step,time,kinetic,potential,total,Px,Py,Pz,Lx,Ly,Lz
0,0,0.14374906748043,-0.287817453790368,-0.144068386309937,-7.19591758142207e-16,6.49450653845973e-16,1.45852297253612e-16,0.0140112263918621,0.00557263653935498,-0.00749041491195065
40,0.2,0.143769643657075,-0.287838044479485,-0.14406840082241,-7.17924797302011e-16,6.29230283329119e-16,1.45581246710491e-16,0.0140112263918621,0.00557263653935499,-0.00749041491195065
80,0.4,0.144051412353621,-0.288119905100793,-0.144068492747172,-7.20262608236433e-16,6.50155385258089e-16,1.43954943451763e-16,0.014011226391862,0.005572636539355,-0.00749041491195066
120,0.6,0.144182604172617,-0.288251250393936,-0.144068646221318,-7.09637426946075e-16,6.4963361296258e-16,1.43575472691393e-16,0.0140112263918621,0.005572636539355,-0.00749041491195064
160,0.8,0.144408658821254,-0.288477013564476,-0.144068354743222,-7.2003221527478e-16,6.53136941232424e-16,1.44740990026815e-16,0.014011226391862,0.005572636539355,-0.00749041491195064
200,1,0.144628244582745,-0.288696674692122,-0.144068430109377,-7.20127082964872e-16,6.35938784271373e-16,1.48589907739138e-16,0.014011226391862,0.00557263653935501,-0.00749041491195064
240,1.2,0.1447982612897,-0.288866669159542,-0.144068407869841,-7.04677202006954e-16,6.3786154906164e-16,1.44957830461312e-16,0.014011226391862,0.00557263653935499,-0.00749041491195065
280,1.4,0.144931625950609,-0.288999999567583,-0.144068373616974,-7.19164853536791e-16,6.32267319961499e-16,1.5482407023093e-16,0.014011226391862,0.005572636539355,-0.00749041491195063
320,1.6,0.145089642798629,-0.289158039844927,-0.144068397046298,-7.1375739520152e-16,6.41356407002011e-16,1.43873628288826e-16,0.0140112263918621,0.00557263653935499,-0.00749041491195063
360,1.8,0.145286149300164,-0.289354602526007,-0.144068453225842,-7.1844656959752e-16,6.4453108648832e-16,1.598927153873e-16,0.0140112263918621,0.00557263653935499,-0.00749041491195064
400,2,0.145366692567409,-0.289435092827805,-0.144068400260396,-7.24992440213901e-16,6.40099410108286e-16,1.40702336934306e-16,0.0140112263918621,0.005572636539355,-0.00749041491195064
440,2.2,0.14558669194907,-0.289655159227662,-0.144068467278592,-7.24341918910409e-16,6.40695721303153e-16,1.58022466639762e-16,0.0140112263918621,0.00557263653935498,-0.00749041491195064
480,2.4,0.145781957741898,-0.289850330310677,-0.144068372568778,-7.19557876824317e-16,6.45520420970713e-16,1.30998727490561e-16,0.014011226391862,0.00557263653935499,-0.00749041491195063
520,2.6,0.145657315811716,-0.289725690189052,-0.144068374377336,-7.170642118276e-16,6.4218649929032e-16,1.62576115764201e-16,0.0140112263918621,0.005572636539355,-0.00749041491195064
560,2.8,0.145678665697692,-0.289747018339907,-0.144068352642216,-7.16386585469797e-16,6.47837903114401e-16,1.39834975196318e-16,0.014011226391862,0.00557263653935499,-0.00749041491195063
600,3,0.145571068776869,-0.2896394563431,-0.144068387566231,-7.15898694492179e-16,6.39570861549199e-16,1.57642995879392e-16,0.0140112263918621,0.00557263653935501,-0.00749041491195063
640,3.2,0.145639005904113,-0.289707373575932,-0.144068367671818,-7.13567659821335e-16,6.41088744590679e-16,1.54878280339554e-16,0.0140112263918621,0.00557263653935501,-0.00749041491195063
680,3.4,0.145622610296496,-0.289691147731546,-0.144068537435051,-7.26903346542906e-16,6.47404222245407e-16,1.50053580671994e-16,0.0140112263918621,0.005572636539355,-0.00749041491195063
720,3.6,0.14540967337165,-0.289478194445562,-0.144068521073912,-7.13323714332526e-16,6.44720821868505e-16,1.55068015719739e-16,0.0140112263918621,0.005572636539355,-0.00749041491195064
760,3.8,0.14525020270062,-0.289318648893062,-0.144068446192441,-7.30399898549172e-16,6.41901896220043e-16,1.39130243784202e-16,0.0140112263918621,0.00557263653935499,-0.00749041491195064
800,4,0.14509299743769,-0.289161397118658,-0.144068399680968,-7.14082655853265e-16,6.35288262967881e-16,1.43656787854329e-16,0.0140112263918621,0.00557263653935499,-0.00749041491195063
