step,time,kinetic,potential,total,Px,Py,Pz,Lx,Ly,Lz
0,0,0.14374906748043,-0.287817453790368,-0.144068386309937,-7.19591758142207e-16,6.49450653845973e-16,1.45852297253612e-16,0.0140112263918621,0.00557263653935498,-0.00749041491195065
40,0.2,0.143769643601474,-0.287838044471225,-0.14406840086975,-7.25517991008191e-09,-2.07730296152172e-09,1.50256219077181e-09,0.0140109973516347,0.00557276231432143,-0.00749033813852488
80,0.4,0.144051412222219,-0.288119905067127,-0.144068492844908,-1.44529157741771e-08,-4.11721603937377e-09,2.78569614638592e-09,0.0140107661200912,0.00557288883256887,-0.0074902607697298
120,0.6,0.144182603937875,-0.288251250313757,-0.144068646375882,-2.15684390192491e-08,-6.10562875551815e-09,3.79675666787823e-09,0.014010532975154,0.00557301617561995,-0.00749018301340087
160,0.8,0.144408658426241,-0.288477013408691,-0.14406835498245,-2.86712205424116e-08,-8.03958615517897e-09,4.49415022739179e-09,0.0140102969886148,0.00557314451709388,-0.00749010452802363
200,1,0.144628243988324,-0.288696674430541,-0.144068430442217,-3.57657340242795e-08,-9.96183798083986e-09,4.91955686054307e-09,0.0140100579171382,0.00557327385043741,-0.00749002513633839
240,1.2,0.144798260489525,-0.288866668795963,-0.144068408306438,-4.29270914259781e-08,-1.1831849066799e-08,5.00053745901784e-09,0.014009814655629,0.00557340489543394,-0.00748994473424595
280,1.4,0.144931624863569,-0.288999999038579,-0.14406837417501,-5.00707058420614e-08,-1.35689965022608e-08,4.80980560596338e-09,0.0140095694322375,0.00557353728902396,-0.00748986392111237
320,1.6,0.1450896413725,-0.289158039118441,-0.144068397745941,-5.71549501875986e-08,-1.52823079809158e-08,4.34226202233488e-09,0.0140093221125481,0.00557367081517146,-0.00748978264087265
360,1.8,0.145286147495795,-0.289354601580819,-0.144068454085023,-6.41937926417288e-08,-1.68285907597879e-08,3.51459111981719e-09,0.0140090723505882,0.00557380506196491,-0.00748970063244624
400,2,0.145366690204675,-0.289435091566792,-0.144068401362117,-7.12220294447088e-08,-1.82085722881355e-08,2.41952493264708e-09,0.0140088193392526,0.00557394019614004,-0.00748961752671498
440,2.2,0.145586689035657,-0.289655157677805,-0.144068468642148,-7.83253581053747e-08,-1.95393280373363e-08,1.01557362432864e-09,0.0140085631201777,0.00557407667443337,-0.00748953360438612
480,2.4,0.145781954077024,-0.28985032829376,-0.144068374216735,-8.54270184931939e-08,-2.0888960050201e-08,-6.22683121102689e-10,0.0140083043874419,0.00557421413707887,-0.00748944826753138
520,2.6,0.145657311697284,-0.289725688037517,-0.144068376340233,-9.25663194051198e-08,-2.22335875186793e-08,-2.52425778874245e-09,0.0140080424722381,0.00557435258602172,-0.00748936159083833
560,2.8,0.14567866076287,-0.289747015731069,-0.144068354968199,-9.97588715735589e-08,-2.35108996982352e-08,-4.77800399633212e-09,0.0140077772097288,0.00557449171348884,-0.00748927435010956
600,3,0.145571063064601,-0.289639453361204,-0.144068390296603,-1.06844385015212e-07,-2.47930112198401e-08,-7.45629338060418e-09,0.0140075111210813,0.00557463251526967,-0.00748918796951701
640,3.2,0.145638999633087,-0.289707370475505,-0.144068370842418,-1.13881029820405e-07,-2.61327288935255e-08,-1.05324347619373e-08,0.0140072427148805,0.00557477510699675,-0.00748910068204167
680,3.4,0.145622602977064,-0.289691144057741,-0.144068541080678,-1.20927419884181e-07,-2.74264972615983e-08,-1.3946069341318e-08,0.0140069714442299,0.0055749183698861,-0.00748901260770976
720,3.6,0.145409665130962,-0.289478190314251,-0.144068525183289,-1.27954556104266e-07,-2.86790214164127e-08,-1.77158887186362e-08,0.0140066980187169,0.00557506231418393,-0.00748892404272515
760,3.8,0.145250193110427,-0.289318643933452,-0.144068450823025,-1.3528752327503e-07,-2.99081313055835e-08,-2.19536512506384e-08,0.0140064193435673,0.00557520409083263,-0.00748883508646454
800,4,0.145092987022984,-0.289161391842844,-0.144068404819859,-1.42473817789596e-07,-3.09605469373301e-08,-2.62106758338503e-08,0.014006143510723,0.00557533281092685,-0.00748875114397606
