step,time,kinetic,potential,total,Px,Py,Pz,Lx,Ly,Lz
0,0,0.14374906748043,-0.287817453790368,-0.144068386309937,-7.19591758142207e-16,6.49450653845973e-16,1.45852297253612e-16,0.0140112263918621,0.00557263653935498,-0.00749041491195065
40,0.2,0.143769643687975,-0.287838044479099,-0.144068400791124,3.62065694760945e-10,2.94382825489483e-10,-1.10208969310603e-10,0.0140112315158014,0.0055726303167117,-0.00749041669277566
80,0.4,0.144051412416127,-0.288119905099278,-0.144068492683151,7.21303902985969e-10,5.87930808353706e-10,-2.27334913968733e-10,0.0140112366617766,0.00557262412973016,-0.00749041847332344
120,0.6,0.144182604267175,-0.288251250390423,-0.144068646123248,1.07645713581783e-09,8.80966400591582e-10,-3.52830390473952e-10,0.0140112418342606,0.00557261797589277,-0.00749042026083813
160,0.8,0.144408658946962,-0.288477013558065,-0.144068354611103,1.42819872214186e-09,1.17217019932352e-09,-4.80922420702072e-10,0.01401124699667,0.00557261182844317,-0.00749042206165056
200,1,0.144628244737809,-0.288696674681362,-0.144068429943553,1.77697223501991e-09,1.46258215682975e-09,-6.1116642966646e-10,0.0140112521668768,0.00557260569405373,-0.00749042386873938
240,1.2,0.144798261472731,-0.288866669144148,-0.144068407671417,2.1209318852648e-09,1.74977064391046e-09,-7.41489622631784e-10,0.0140112573062032,0.00557259954715305,-0.00749042570709008
280,1.4,0.144931626160075,-0.288999999545973,-0.144068373385898,2.45995432484876e-09,2.03490343705399e-09,-8.78625503597649e-10,0.0140112624031459,0.00557259342219629,-0.00749042755734984
320,1.6,0.145089643034216,-0.289158039817335,-0.144068396783118,2.79477958190064e-09,2.31931207616746e-09,-1.02144654044148e-09,0.0140112675088547,0.00557258732016263,-0.00749042941795889
360,1.8,0.145286149557322,-0.289354602488697,-0.144068452931375,3.12840138829687e-09,2.60228083972093e-09,-1.16319789927486e-09,0.0140112725805185,0.0055725812188053,-0.00749043127708811
400,2,0.145366692844345,-0.289435092779749,-0.144068399935405,3.4578530352632e-09,2.88114943783612e-09,-1.30416406995027e-09,0.0140112775718811,0.00557257509622381,-0.00749043317152422
440,2.2,0.145586692245806,-0.289655159169717,-0.144068466923911,3.78247745824116e-09,3.15704401644245e-09,-1.44450596726046e-09,0.0140112825113366,0.00557256895768234,-0.00749043509862263
480,2.4,0.145781958053929,-0.289850330239079,-0.14406837218515,4.10107642507054e-09,3.43015952965274e-09,-1.58679414291422e-09,0.0140112874240123,0.00557256285918821,-0.00749043702542277
520,2.6,0.14565731613622,-0.289725690100994,-0.144068373964775,4.41571374653e-09,3.70003191499661e-09,-1.72832695789597e-09,0.0140112923001624,0.00557255677105655,-0.00749043896259033
560,2.8,0.145678666028492,-0.289747018231074,-0.144068352202582,4.72902710819457e-09,3.96707789548597e-09,-1.86768741366138e-09,0.0140112971382535,0.00557255065957261,-0.00749044091915388
600,3,0.145571069102596,-0.289639456205083,-0.144068387102487,5.04148884596621e-09,4.23745315724332e-09,-2.01157610940595e-09,0.0140113020058012,0.00557254454076537,-0.00749044289539969
640,3.2,0.145639006235206,-0.289707373419665,-0.14406836718446,5.3509051904817e-09,4.5061367413596e-09,-2.15452150665132e-09,0.0140113068233328,0.00557253841563963,-0.00749044489600959
680,3.4,0.145622610629578,-0.289691147554718,-0.14406853692514,5.65663168080243e-09,4.77235907153759e-09,-2.29993181490311e-09,0.0140113116281164,0.00557253229968051,-0.00749044691407959
720,3.6,0.145409673699367,-0.289478194240282,-0.144068520540915,5.95885810001349e-09,5.03735319890052e-09,-2.44811508112491e-09,0.0140113164223932,0.00557252619763801,-0.00749044894272959
760,3.8,0.145250203025028,-0.28931864866022,-0.144068445635192,6.25919825019729e-09,5.29976554715329e-09,-2.59555632604771e-09,0.0140113211856328,0.00557252010316048,-0.00749045097826213
800,4,0.145092997772141,-0.289161396870659,-0.144068399098518,6.55758987009539e-09,5.55825179274477e-09,-2.74086099207927e-09,0.0140113259075532,0.00557251401213505,-0.00749045302784954
