step,time,kinetic,potential,total,Px,Py
0,0,0.0945874,-0.118493,-0.0239058,4.96022e-18,7.80626e-18
50,0.1,0.0960481,-0.119934,-0.0238858,2.14462e-06,-8.26055e-06
100,0.2,0.100712,-0.124575,-0.0238634,-9.27092e-07,-1.33198e-05
150,0.3,0.108586,-0.132434,-0.0238481,3.24207e-06,-2.59401e-05
200,0.4,0.11978,-0.143623,-0.023843,-1.80645e-06,-3.68971e-05
250,0.5,0.13452,-0.158369,-0.0238499,-3.41209e-06,-4.44804e-05
300,0.6,0.153062,-0.176929,-0.0238672,-1.73593e-06,-4.53409e-05
350,0.7,0.175793,-0.199652,-0.023859,1.05118e-05,-5.48985e-05
400,0.8,0.202909,-0.226747,-0.0238376,2.06953e-05,-6.22393e-05
450,0.9,0.234868,-0.258671,-0.0238034,2.99632e-05,-8.47744e-05
500,1,0.271998,-0.295734,-0.0237357,9.7459e-06,-0.000100201
550,1.1,0.314365,-0.338064,-0.0236988,-4.04874e-06,-0.00010607
600,1.2,0.361304,-0.385031,-0.0237267,1.1856e-05,-0.000111202
650,1.3,0.410503,-0.434258,-0.0237548,4.47505e-05,-0.000103198
700,1.4,0.456047,-0.479819,-0.0237714,4.74809e-05,-0.000151943
750,1.5,0.489203,-0.512876,-0.023673,9.07767e-05,-0.000132046
800,1.6,0.502197,-0.525832,-0.0236348,0.000158552,-9.99855e-05
850,1.7,0.491934,-0.515442,-0.0235082,0.000162154,-0.000118343
900,1.8,0.462242,-0.485826,-0.0235843,0.000144818,-0.000102124
950,1.9,0.421116,-0.444741,-0.0236245,0.00012428,-9.56328e-05
1000,2,0.375736,-0.399327,-0.0235903,0.000126174,-0.000111772
1050,2.1,0.331001,-0.354619,-0.0236184,0.000136049,-0.000132081
1100,2.2,0.289365,-0.313057,-0.0236913,0.000155273,-0.000124598
1150,2.3,0.252395,-0.276091,-0.0236959,0.000156332,-0.000120613
1200,2.4,0.220235,-0.243927,-0.0236926,0.000161185,-0.000128996
1250,2.5,0.192641,-0.21632,-0.0236784,0.00015875,-0.00013296
1300,2.6,0.169472,-0.193138,-0.0236668,0.000157014,-0.00013778
1350,2.7,0.150387,-0.174056,-0.023669,0.00015062,-0.000140414
1400,2.8,0.134993,-0.158674,-0.0236806,0.000144186,-0.000136752
1450,2.9,0.123232,-0.146929,-0.0236975,0.000140955,-0.000110087
1500,3,0.114912,-0.138634,-0.023722,0.000151466,-0.000115624
1550,3.1,0.10985,-0.133583,-0.0237336,0.00015478,-0.000128688
1600,3.2,0.107878,-0.131598,-0.0237203,0.000143372,-0.000132559
1650,3.3,0.108958,-0.132671,-0.0237128,0.000119684,-0.000135248
1700,3.4,0.112959,-0.13666,-0.0237008,9.62191e-05,-0.000124976
1750,3.5,0.11998,-0.14367,-0.0236896,5.77532e-05,-0.000117551
1800,3.6,0.130046,-0.153729,-0.0236826,2.19998e-05,-0.000100944
1850,3.7,0.143054,-0.166739,-0.0236855,1.00828e-05,-9.45763e-05
1900,3.8,0.159278,-0.182959,-0.0236808,1.18714e-05,-9.36683e-05
1950,3.9,0.178233,-0.201888,-0.0236545,3.29119e-05,-0.000122306
2000,4,0.199492,-0.2231,-0.0236081,5.25682e-05,-0.000140778
2050,4.1,0.223509,-0.247079,-0.0235693,6.2117e-05,-0.000138015
2100,4.2,0.250699,-0.274222,-0.023523,7.00099e-05,-0.000173636
2150,4.3,0.281636,-0.305071,-0.0234347,5.07691e-05,-0.000202854
2200,4.4,0.315715,-0.339053,-0.0233374,-6.13063e-06,-0.00028465
2250,4.5,0.350634,-0.373905,-0.0232717,-5.18202e-05,-0.000300658
2300,4.6,0.382642,-0.405889,-0.023247,-6.06109e-05,-0.000288743
2350,4.7,0.408409,-0.431597,-0.0231877,-5.591e-05,-0.000281515
2400,4.8,0.426415,-0.449563,-0.0231481,-5.369e-05,-0.000273205
2450,4.9,0.435612,-0.458722,-0.0231095,-7.20102e-05,-0.000276817
2500,5,0.433629,-0.45677,-0.0231412,-7.44594e-05,-0.000270506
2550,5.1,0.420116,-0.443198,-0.0230819,-7.55557e-05,-0.000238609
2600,5.2,0.397222,-0.420285,-0.023063,-0.000103614,-0.000219573
2650,5.3,0.366959,-0.390037,-0.0230787,-0.000101681,-0.000204529
2700,5.4,0.333796,-0.356884,-0.023087,-0.00014195,-0.000168338
2750,5.5,0.301023,-0.324142,-0.0231194,-0.000156999,-0.000169978
2800,5.6,0.270641,-0.293839,-0.023198,-0.000204532,-0.000164457
2850,5.7,0.242904,-0.266179,-0.0232748,-0.000243117,-0.000147812
2900,5.8,0.218737,-0.242067,-0.0233303,-0.000246439,-0.000168916
2950,5.9,0.198273,-0.221656,-0.0233821,-0.000246033,-0.000194998
3000,6,0.181015,-0.204463,-0.0234489,-0.000278062,-0.000207134
3050,6.1,0.166475,-0.18998,-0.0235051,-0.000314653,-0.000211566
3100,6.2,0.154976,-0.1785,-0.0235238,-0.000317567,-0.000212441
3150,6.3,0.146192,-0.169724,-0.0235316,-0.000353538,-0.000207732
3200,6.4,0.140243,-0.163786,-0.0235429,-0.000384449,-0.000193786
3250,6.5,0.136637,-0.160175,-0.0235387,-0.000395478,-0.000176511
3300,6.6,0.13592,-0.159456,-0.0235354,-0.000402145,-0.000158526
3350,6.7,0.137855,-0.16139,-0.0235346,-0.00039087,-0.000175064
3400,6.8,0.141982,-0.1655,-0.0235174,-0.00038194,-0.000187143
3450,6.9,0.147984,-0.171479,-0.0234949,-0.000412558,-0.000178773
3500,7,0.156177,-0.17965,-0.0234728,-0.00044764,-0.00018156
3550,7.1,0.166565,-0.19003,-0.023465,-0.000509704,-0.000201254
3600,7.2,0.179102,-0.202573,-0.0234714,-0.000507853,-0.000196195
3650,7.3,0.194671,-0.218162,-0.0234902,-0.000509734,-0.000215226
3700,7.4,0.213006,-0.23649,-0.0234844,-0.000544881,-0.000224469
3750,7.5,0.234264,-0.257751,-0.0234867,-0.000547643,-0.000243202
3800,7.6,0.25767,-0.281138,-0.0234682,-0.000554441,-0.000233529
3850,7.7,0.281097,-0.30456,-0.0234633,-0.000549384,-0.000198822
3900,7.8,0.303652,-0.327073,-0.0234208,-0.000571995,-0.000187979
3950,7.9,0.324611,-0.347972,-0.023361,-0.000623713,-0.000215378
4000,8,0.343194,-0.366524,-0.0233298,-0.000685629,-0.000247712
4050,8.1,0.359402,-0.382703,-0.023301,-0.00072356,-0.000278875
4100,8.2,0.371391,-0.394649,-0.0232573,-0.000713546,-0.000326715
4150,8.3,0.377926,-0.401138,-0.0232128,-0.000722749,-0.000398067
4200,8.4,0.37908,-0.402331,-0.0232511,-0.000671853,-0.000416848
4250,8.5,0.373477,-0.396735,-0.0232579,-0.000631795,-0.000424077
4300,8.6,0.360305,-0.383572,-0.0232669,-0.000571857,-0.000387544
4350,8.7,0.34108,-0.364377,-0.0232969,-0.000526479,-0.00034938
4400,8.8,0.318981,-0.342261,-0.0232804,-0.000509169,-0.000334484
4450,8.9,0.29633,-0.319563,-0.0232326,-0.000485982,-0.000321848
4500,9,0.273601,-0.296822,-0.0232208,-0.000486938,-0.000305342
4550,9.1,0.252067,-0.275257,-0.0231896,-0.000474997,-0.000304506
4600,9.2,0.232519,-0.25571,-0.0231907,-0.00049581,-0.000315214
4650,9.3,0.215597,-0.238761,-0.0231644,-0.000532429,-0.000300935
4700,9.4,0.201442,-0.22459,-0.0231478,-0.000543092,-0.000286991
4750,9.5,0.189949,-0.213101,-0.0231525,-0.000575132,-0.000250541
4800,9.6,0.181305,-0.204454,-0.023149,-0.000607502,-0.000279401
4850,9.7,0.175395,-0.198546,-0.0231506,-0.000633482,-0.000310544
4900,9.8,0.171803,-0.194947,-0.0231437,-0.000648053,-0.000320952
4950,9.9,0.170299,-0.193438,-0.0231389,-0.000670348,-0.000344867
5000,10,0.171246,-0.194383,-0.0231363,-0.000660399,-0.000379902
5050,10.1,0.174706,-0.197842,-0.0231357,-0.000682625,-0.000418141
5100,10.2,0.180468,-0.203594,-0.0231255,-0.000677042,-0.000420646
5150,10.3,0.188288,-0.21143,-0.023142,-0.000643186,-0.000437749
5200,10.4,0.198147,-0.221296,-0.0231489,-0.000581127,-0.000500114
5250,10.5,0.208438,-0.231592,-0.0231541,-0.000521019,-0.000537422
5300,10.6,0.218803,-0.241972,-0.0231687,-0.00045437,-0.00056409
5350,10.7,0.22833,-0.251496,-0.0231658,-0.000354168,-0.000546073
5400,10.8,0.237961,-0.261147,-0.0231863,-0.00028908,-0.000553317
5450,10.9,0.249123,-0.272312,-0.0231887,-0.000265679,-0.000525011
5500,11,0.261632,-0.284824,-0.0231919,-0.0002707,-0.00048265
5550,11.1,0.274043,-0.297227,-0.0231841,-0.000264583,-0.000412803
5600,11.2,0.286187,-0.309376,-0.0231895,-0.000275202,-0.000296597
5650,11.3,0.297306,-0.320493,-0.0231865,-0.000273171,-0.000248708
5700,11.4,0.303583,-0.32676,-0.0231768,-0.000244024,-0.000208933
5750,11.5,0.306027,-0.329205,-0.0231778,-0.000253945,-0.000191588
5800,11.6,0.305686,-0.328836,-0.0231496,-0.000261347,-0.000173452
5850,11.7,0.301778,-0.324898,-0.02312,-0.000289927,-0.000174821
5900,11.8,0.296067,-0.319152,-0.0230852,-0.000334942,-0.000150089
5950,11.9,0.289526,-0.312601,-0.0230758,-0.000366207,-0.000145436
6000,12,0.281966,-0.305027,-0.0230613,-0.00035823,-0.000167249
6050,12.1,0.273731,-0.296778,-0.0230468,-0.000335773,-0.000205165
6100,12.2,0.266316,-0.289339,-0.0230226,-0.000305847,-0.000212977
6150,12.3,0.260306,-0.283308,-0.0230025,-0.000336103,-0.000254748
6200,12.4,0.255647,-0.278659,-0.0230121,-0.000354075,-0.00027677
6250,12.5,0.251166,-0.274227,-0.0230607,-0.000350684,-0.000286528
6300,12.6,0.246814,-0.269892,-0.0230778,-0.000321976,-0.000298848
6350,12.7,0.24271,-0.265798,-0.0230876,-0.000325416,-0.000300913
6400,12.8,0.238128,-0.261225,-0.0230972,-0.000318935,-0.000306667
