step,time,kinetic,potential,total,Px,Py
0,0,0.0945874,-0.118493,-0.0239058,4.96022e-18,7.80626e-18
50,0.1,0.0960254,-0.119931,-0.0239058,7.26415e-18,1.5748e-17
100,0.2,0.100659,-0.124565,-0.0239058,3.79471e-19,1.69678e-17
150,0.3,0.108507,-0.132413,-0.0239058,1.13299e-17,1.65612e-17
200,0.4,0.119684,-0.143589,-0.0239058,9.26993e-18,1.33899e-17
250,0.5,0.134415,-0.158321,-0.0239058,-1.60462e-17,2.43268e-17
300,0.6,0.152959,-0.176865,-0.0239058,1.45283e-17,2.8894e-17
350,0.7,0.175659,-0.199564,-0.0239058,6.83047e-18,1.57413e-17
400,0.8,0.202724,-0.22663,-0.0239058,1.31188e-17,2.01009e-17
450,0.9,0.234608,-0.258513,-0.0239058,2.92735e-18,3.86383e-17
500,1,0.271611,-0.295517,-0.0239058,-5.31259e-18,3.07642e-17
550,1.1,0.313865,-0.337771,-0.0239059,-1.14925e-17,1.30104e-17
600,1.2,0.36075,-0.384656,-0.023906,-3.25261e-17,1.1872e-17
650,1.3,0.4099,-0.433806,-0.0239062,-2.81893e-17,-9.21572e-18
700,1.4,0.455401,-0.479308,-0.0239067,-3.33934e-17,1.0842e-17
750,1.5,0.488476,-0.512383,-0.0239069,-3.42608e-17,-1.64799e-17
800,1.6,0.501575,-0.525482,-0.0239071,-2.80808e-17,-1.51788e-17
850,1.7,0.491419,-0.515326,-0.0239069,-1.55041e-17,-2.38524e-17
900,1.8,0.462006,-0.485913,-0.0239066,-3.3285e-17,-2.88398e-17
950,1.9,0.421068,-0.444974,-0.0239062,-3.0195e-17,-1.53957e-17
1000,2,0.375757,-0.399663,-0.0239061,-2.71322e-17,-9.86624e-18
1050,2.1,0.3311,-0.355006,-0.0239059,-2.01391e-17,-8.23994e-18
1100,2.2,0.289538,-0.313444,-0.0239058,-1.17094e-17,-2.85145e-17
1150,2.3,0.252583,-0.276488,-0.0239058,-1.24412e-17,-3.93565e-17
1200,2.4,0.220403,-0.244309,-0.0239058,-2.28225e-17,-4.45607e-17
1250,2.5,0.192773,-0.216679,-0.0239058,-1.92446e-17,-4.21213e-17
1300,2.6,0.16957,-0.193476,-0.0239058,-7.15573e-18,-4.79217e-17
1350,2.7,0.150445,-0.17435,-0.0239058,-1.73472e-17,-4.47233e-17
1400,2.8,0.135023,-0.158929,-0.0239058,4.33681e-18,-4.3856e-17
1450,2.9,0.123229,-0.147134,-0.0239058,1.78893e-17,-3.49249e-17
1500,3,0.114883,-0.138789,-0.0239058,6.07153e-18,-4.34562e-17
1550,3.1,0.109772,-0.133678,-0.0239058,-8.67362e-18,-5.46167e-17
1600,3.2,0.107736,-0.131642,-0.0239058,-2.92735e-18,-3.80555e-17
1650,3.3,0.108744,-0.132649,-0.0239059,-3.90313e-18,-4.79759e-17
1700,3.4,0.112621,-0.136527,-0.0239058,1.30104e-18,-5.00359e-17
1750,3.5,0.119601,-0.143506,-0.0239059,1.95156e-18,-4.65123e-17
1800,3.6,0.129594,-0.1535,-0.0239058,5.31259e-18,-5.45354e-17
1850,3.7,0.142565,-0.166471,-0.0239058,4.66207e-18,-4.38018e-17
1900,3.8,0.158778,-0.182683,-0.0239059,1.53957e-17,-3.29597e-17
1950,3.9,0.177601,-0.201507,-0.0239059,4.44523e-18,-4.44523e-17
2000,4,0.198769,-0.222674,-0.0239059,4.65123e-17,-5.48606e-17
2050,4.1,0.222689,-0.246595,-0.0239059,1.64799e-17,-5.11743e-17
2100,4.2,0.249798,-0.273704,-0.0239059,4.07118e-17,-1.30104e-17
2150,4.3,0.280652,-0.304558,-0.0239059,4.11997e-18,-3.01408e-17
2200,4.4,0.314662,-0.338568,-0.0239059,1.85263e-17,-1.6263e-17
2250,4.5,0.349695,-0.373601,-0.0239062,-1.2902e-17,-1.14925e-17
2300,4.6,0.38214,-0.406046,-0.0239063,-4.87891e-18,-4.29344e-17
2350,4.7,0.40808,-0.431986,-0.0239064,-1.12757e-17,-5.1608e-17
2400,4.8,0.426421,-0.450328,-0.0239064,2.08167e-17,-3.59955e-17
2450,4.9,0.435769,-0.459675,-0.0239066,8.23994e-18,-5.15538e-17
2500,5,0.43374,-0.457647,-0.0239065,-5.42101e-18,-2.21448e-17
2550,5.1,0.420346,-0.444253,-0.0239065,1.38778e-17,-2.34052e-17
2600,5.2,0.397426,-0.421332,-0.0239063,2.08167e-17,-3.17129e-17
2650,5.3,0.367274,-0.391181,-0.0239062,2.34188e-17,-4.11455e-17
2700,5.4,0.334119,-0.358025,-0.0239061,2.42861e-17,-6.55942e-17
2750,5.5,0.301354,-0.32526,-0.023906,1.04083e-17,-4.11997e-17
2800,5.6,0.270859,-0.294765,-0.0239059,2.19009e-17,-4.22839e-17
2850,5.7,0.243287,-0.267193,-0.0239058,1.18178e-17,-4.36933e-17
2900,5.8,0.219293,-0.243199,-0.0239058,3.20924e-17,-4.01155e-17
2950,5.9,0.198567,-0.222473,-0.0239059,3.01408e-17,-3.31766e-17
