step,time,kinetic,potential,total,Px,Py
0,0,0.0945874,-0.118493,-0.0239058,4.96022e-18,7.80626e-18
50,0.1,0.0960265,-0.119932,-0.023905,8.90486e-07,8.28747e-07
100,0.2,0.100663,-0.124566,-0.0239037,2.00548e-06,2.16745e-06
150,0.3,0.108515,-0.132417,-0.023902,3.85736e-06,5.54659e-06
200,0.4,0.119697,-0.143596,-0.0238989,3.32185e-06,8.70045e-06
250,0.5,0.134436,-0.158332,-0.0238959,4.36744e-06,1.06489e-05
300,0.6,0.152989,-0.176882,-0.0238926,6.33031e-06,1.22038e-05
350,0.7,0.175699,-0.199588,-0.0238896,7.53368e-06,1.41773e-05
400,0.8,0.202778,-0.226663,-0.0238845,9.26471e-06,1.54649e-05
450,0.9,0.234678,-0.258557,-0.0238786,1.00181e-05,1.72808e-05
500,1,0.2717,-0.295573,-0.0238727,1.03237e-05,1.92423e-05
550,1.1,0.313976,-0.337842,-0.0238662,1.05911e-05,1.99382e-05
600,1.2,0.360888,-0.384745,-0.0238566,1.11274e-05,1.76971e-05
650,1.3,0.410068,-0.433911,-0.0238429,8.52644e-06,1.35235e-05
700,1.4,0.455579,-0.479414,-0.0238349,1.02938e-05,1.37365e-05
750,1.5,0.488647,-0.512476,-0.0238291,9.82034e-06,1.72758e-05
800,1.6,0.501718,-0.525545,-0.0238273,7.82202e-06,1.79928e-05
850,1.7,0.491515,-0.515345,-0.0238302,9.10559e-06,1.86397e-05
900,1.8,0.462057,-0.485895,-0.0238377,8.28968e-06,1.90737e-05
950,1.9,0.421075,-0.444922,-0.0238475,8.0853e-06,1.57838e-05
1000,2,0.375736,-0.399594,-0.0238579,1.045e-05,1.44141e-05
1050,2.1,0.331068,-0.354933,-0.023865,1.03009e-05,1.50772e-05
1100,2.2,0.289499,-0.313372,-0.0238723,8.86264e-06,1.42248e-05
1150,2.3,0.252537,-0.276419,-0.0238818,8.75041e-06,1.09213e-05
1200,2.4,0.220363,-0.24425,-0.0238876,9.11427e-06,9.83697e-06
1250,2.5,0.192736,-0.216626,-0.0238899,1.01082e-05,1.01681e-05
1300,2.6,0.169535,-0.193427,-0.0238923,1.09044e-05,9.5828e-06
1350,2.7,0.150418,-0.174313,-0.0238954,1.15529e-05,1.04834e-05
1400,2.8,0.135,-0.158899,-0.0238985,1.27117e-05,1.10974e-05
1450,2.9,0.123209,-0.14711,-0.0239012,1.41916e-05,1.42118e-05
1500,3,0.114876,-0.138778,-0.0239019,1.509e-05,1.95096e-05
1550,3.1,0.109778,-0.13368,-0.0239023,1.51176e-05,2.3892e-05
1600,3.2,0.107752,-0.131654,-0.0239023,1.55593e-05,2.78089e-05
1650,3.3,0.108767,-0.13267,-0.0239026,1.4411e-05,3.11145e-05
1700,3.4,0.112655,-0.136557,-0.023902,1.18295e-05,3.10914e-05
1750,3.5,0.119647,-0.143548,-0.0239007,9.32863e-06,3.19267e-05
1800,3.6,0.129664,-0.153564,-0.0238991,8.65176e-06,3.0714e-05
1850,3.7,0.142635,-0.166532,-0.0238973,7.34643e-06,2.90082e-05
1900,3.8,0.15886,-0.182754,-0.0238936,4.26247e-06,3.17797e-05
1950,3.9,0.177708,-0.201595,-0.0238866,2.1559e-06,3.78051e-05
2000,4,0.198894,-0.222776,-0.0238811,1.57736e-06,4.22316e-05
2050,4.1,0.222826,-0.246701,-0.0238753,2.93473e-06,4.02797e-05
2100,4.2,0.249956,-0.273825,-0.0238693,6.85342e-06,3.82186e-05
2150,4.3,0.280828,-0.304694,-0.0238665,9.07423e-06,4.02654e-05
2200,4.4,0.314852,-0.338711,-0.0238594,1.22627e-05,4.46417e-05
2250,4.5,0.349893,-0.373746,-0.0238528,1.43754e-05,4.80135e-05
2300,4.6,0.382308,-0.406156,-0.0238483,1.47657e-05,4.80519e-05
2350,4.7,0.408261,-0.432097,-0.0238353,1.37228e-05,4.98011e-05
2400,4.8,0.426638,-0.450463,-0.023826,1.1149e-05,5.22519e-05
2450,4.9,0.435985,-0.459806,-0.0238206,9.55801e-06,5.55442e-05
2500,5,0.43389,-0.457711,-0.0238205,7.1165e-06,5.65154e-05
2550,5.1,0.420399,-0.444226,-0.0238274,6.69785e-06,5.85186e-05
2600,5.2,0.397403,-0.421238,-0.0238343,6.44869e-06,5.88669e-05
2650,5.3,0.367176,-0.391013,-0.0238369,4.23668e-06,6.31585e-05
2700,5.4,0.333998,-0.357837,-0.0238385,2.66887e-06,6.58533e-05
2750,5.5,0.301223,-0.32507,-0.0238463,-1.04467e-06,6.57115e-05
2800,5.6,0.270767,-0.294616,-0.0238493,7.4239e-07,6.78512e-05
2850,5.7,0.243161,-0.267014,-0.0238531,-9.49085e-07,6.99948e-05
2900,5.8,0.219279,-0.243135,-0.0238555,1.41893e-06,7.56227e-05
2950,5.9,0.198626,-0.222487,-0.0238612,-1.16323e-06,7.84204e-05
3000,6,0.180856,-0.204721,-0.0238652,1.70887e-06,7.92212e-05
3050,6.1,0.166206,-0.190074,-0.0238684,8.15582e-06,8.11958e-05
3100,6.2,0.154433,-0.178302,-0.0238695,1.39024e-05,8.17575e-05
3150,6.3,0.145272,-0.169142,-0.0238705,1.32477e-05,8.59286e-05
3200,6.4,0.139138,-0.16301,-0.023872,1.06998e-05,9.16768e-05
3250,6.5,0.135744,-0.159615,-0.0238709,5.61092e-06,9.46716e-05
3300,6.6,0.135211,-0.159078,-0.0238676,1.05236e-06,9.32951e-05
3350,6.7,0.137433,-0.161299,-0.0238654,-2.51845e-06,8.90903e-05
