frame,median_sep,dense_core_sep
0,8.0666,8.0646
1,7.9599,7.9540
2,7.8418,7.8376
3,7.7326,7.7162
4,7.6110,7.5924
5,7.4623,7.4540
6,7.3506,7.3340
7,7.2151,7.1979
8,7.0777,7.0601
9,6.9578,6.9490
10,6.8140,6.8409
11,6.6385,6.6842
12,6.4505,6.4974
13,6.2513,6.2967
14,6.0611,6.1097
15,5.8525,5.9007
16,5.6564,5.6902
17,5.4559,5.4783
18,5.2519,5.2654
19,5.0376,5.0360
20,4.8014,4.7886
21,4.5340,4.5195
22,4.2697,4.2346
23,3.9755,3.9308
24,3.6503,3.6048
25,3.3010,3.2557
26,2.9032,2.8812
27,2.5055,2.4876
28,2.1083,2.0713
29,1.6903,1.6283
30,1.2968,1.2212
31,0.9227,0.8626
32,0.6497,0.6606
33,0.7134,0.7925
34,0.8983,1.0084
35,1.0478,1.1404
36,1.2600,1.2860
37,1.3966,1.3899
38,1.4501,1.4251
39,1.4652,1.4315
40,1.4279,1.4249
41,1.3462,1.3856
42,1.3147,1.3453
43,1.2830,1.3010
44,1.2927,1.2559
45,1.2351,1.1428
46,1.1062,0.9754
47,0.9530,0.7549
48,0.8030,0.5373
49,0.7296,0.3574
50,0.6921,0.2350
51,0.6959,0.2297
52,0.7224,0.3025
53,0.8688,0.4252
54,1.0056,0.5271
55,1.0733,0.5756
56,1.0912,0.5193
57,1.0638,0.3808
58,1.1028,0.4145
59,1.0890,0.3758
60,1.0782,0.3327
61,1.1001,0.3201
62,1.1061,0.2997
63,1.0848,0.2877
64,1.0553,0.2792
65,1.0179,0.2600
66,0.9906,0.2555
67,0.9468,0.2573
68,0.9139,0.2399
69,0.8870,0.2336
70,0.8631,0.2264
71,0.8314,0.2089
72,0.8002,0.2028
73,0.7794,0.2041
74,0.7847,0.1975
75,0.8186,0.2130
76,0.8334,0.2354
77,0.8299,0.2416
78,0.8486,0.2444
79,0.8700,0.2534
80,0.8769,0.2773
81,0.8581,0.2779
82,0.8383,0.2554
83,0.7970,0.2094
84,0.7512,0.1964
85,0.7299,0.2126
86,0.6615,0.2079
87,0.6240,0.2069
88,0.5948,0.1953
89,0.5856,0.1888
90,0.5937,0.1973
91,0.6065,0.1968
92,0.6085,0.1875
93,0.6080,0.1658
94,0.6166,0.1573
95,0.6166,0.1756
96,0.6214,0.2029
97,0.6189,0.2198
98,0.6282,0.2277
99,0.6190,0.2141
100,0.6193,0.1985
101,0.6327,0.2072
102,0.6300,0.2083
103,0.6239,0.2071
104,0.6044,0.2103
105,0.5854,0.1963
106,0.5697,0.1693
107,0.5733,0.1663
108,0.5762,0.1686
109,0.5902,0.1863
110,0.6225,0.2095
111,0.6440,0.2234
112,0.6666,0.2337
113,0.6952,0.2470
114,0.7055,0.2549
115,0.7006,0.2382
116,0.6983,0.2217
117,0.6863,0.2048
118,0.6755,0.1882
119,0.6666,0.1751
120,0.6524,0.1669
121,0.6390,0.1709
122,0.6315,0.1753
123,0.6408,0.1901
124,0.6463,0.1968
125,0.6416,0.1928
126,0.6489,0.1922
127,0.6463,0.2001
128,0.6365,0.1860
129,0.6179,0.1676
130,0.6059,0.1551
131,0.6020,0.1481
132,0.5888,0.1436
133,0.5822,0.1527
134,0.5790,0.1599
135,0.5807,0.1626
136,0.6028,0.1845
137,0.6202,0.1930
138,0.6391,0.2011
139,0.6668,0.2186
140,0.6779,0.2334
141,0.6787,0.2212
142,0.6691,0.2070
143,0.6521,0.1796
144,0.6248,0.1560
145,0.6018,0.1448
146,0.5934,0.1434
147,0.5871,0.1584
148,0.5995,0.1699
149,0.6025,0.1747
150,0.6049,0.1906
