step,time,total,relDrift
0,0,-0.424445,0
120,1.2,-0.424307,0.000325534
240,2.4,-0.423992,0.00106566
360,3.6,-0.423756,0.00162387
480,4.8,-0.42373,0.00168513
600,6,-0.423546,0.00211843
720,7.2,-0.422741,0.00401355
840,8.4,-0.422545,0.00447516
960,9.6,-0.422304,0.00504305
1080,10.8,-0.421861,0.00608732
1200,12,-0.420706,0.00880974
1320,13.2,-0.41998,0.0105183
1440,14.4,-0.42019,0.0100247
1560,15.6,-0.420537,0.00920747
1680,16.8,-0.420629,0.00899031
1800,18,-0.420445,0.00942426
1920,19.2,-0.420128,0.0101697
2040,20.4,-0.419807,0.0109267
2160,21.6,-0.419724,0.0111229
2280,22.8,-0.418386,0.0142753
2400,24,-0.41833,0.0144056
2520,25.2,-0.417715,0.0158546
2640,26.4,-0.417009,0.0175179
2760,27.6,-0.417103,0.0172968
2880,28.8,-0.416683,0.018286
3000,30,-0.416619,0.0184388
3120,31.2,-0.416458,0.0188174
3240,32.4,-0.416507,0.0187026
3360,33.6,-0.416055,0.0197669
3480,34.8,-0.416016,0.0198581
3600,36,-0.415896,0.0201407
3720,37.2,-0.416101,0.0196581
3840,38.4,-0.415843,0.020265
3960,39.6,-0.415803,0.0203604
4080,40.8,-0.415531,0.0210009
4200,42,-0.415388,0.0213382
4320,43.2,-0.415446,0.0212021
4440,44.4,-0.415475,0.0211327
4560,45.6,-0.415229,0.0217115
4680,46.8,-0.415022,0.0221995
4800,48,-0.414929,0.0224194
4920,49.2,-0.414552,0.0233072
5040,50.4,-0.414381,0.0237113
5160,51.6,-0.414056,0.024477
5280,52.8,-0.413687,0.0253462
5400,54,-0.41342,0.0259739
5520,55.2,-0.413209,0.0264721
5640,56.4,-0.41328,0.0263044
5760,57.6,-0.413084,0.0267668
5880,58.8,-0.412883,0.027241
6000,60,-0.412785,0.0274701
