step,time,sep
0,0,8.06808
5,0.05,8.05509
10,0.1,8.04203
15,0.15,8.0289
20,0.2,8.01568
25,0.25,8.0024
30,0.3,7.98903
35,0.35,7.97559
40,0.4,7.96208
45,0.45,7.94848
50,0.5,7.93481
55,0.55,7.92106
60,0.6,7.90724
65,0.65,7.89333
70,0.7,7.87935
75,0.75,7.86529
80,0.8,7.85115
85,0.85,7.83693
90,0.9,7.82263
95,0.95,7.80825
100,1,7.79379
105,1.05,7.77925
110,1.1,7.76463
115,1.15,7.74993
120,1.2,7.73515
125,1.25,7.72029
130,1.3,7.70534
135,1.35,7.69031
140,1.4,7.6752
145,1.45,7.66
150,1.5,7.64472
155,1.55,7.62936
160,1.6,7.61391
165,1.65,7.59838
170,1.7,7.58276
175,1.75,7.56706
180,1.8,7.55127
185,1.85,7.53539
190,1.9,7.51943
195,1.95,7.50338
200,2,7.48724
205,2.05,7.47102
210,2.1,7.45471
215,2.15,7.4383
220,2.2,7.42181
225,2.25,7.40523
230,2.3,7.38856
235,2.35,7.3718
240,2.4,7.35495
245,2.45,7.338
250,2.5,7.32096
255,2.55,7.30383
260,2.6,7.28661
265,2.65,7.26929
270,2.7,7.25188
275,2.75,7.23438
280,2.8,7.21678
285,2.85,7.19908
290,2.9,7.18129
295,2.95,7.1634
300,3,7.14542
305,3.05,7.12733
310,3.1,7.10915
315,3.15,7.09087
320,3.2,7.07249
325,3.25,7.05401
330,3.3,7.03543
335,3.35,7.01675
340,3.4,6.99796
345,3.45,6.97908
350,3.5,6.96009
355,3.55,6.941
360,3.6,6.9218
365,3.65,6.9025
370,3.7,6.88309
375,3.75,6.86357
380,3.8,6.84395
385,3.85,6.82422
390,3.9,6.80439
395,3.95,6.78444
400,4,6.76438
405,4.05,6.74422
410,4.1,6.72394
415,4.15,6.70355
420,4.2,6.68305
425,4.25,6.66243
430,4.3,6.6417
435,4.35,6.62086
440,4.4,6.5999
445,4.45,6.57882
450,4.5,6.55763
455,4.55,6.53632
460,4.6,6.51489
465,4.65,6.49334
470,4.7,6.47167
475,4.75,6.44988
480,4.8,6.42796
485,4.85,6.40593
490,4.9,6.38377
495,4.95,6.36148
500,5,6.33907
505,5.05,6.31654
510,5.1,6.29388
515,5.15,6.27108
520,5.2,6.24817
525,5.25,6.22512
530,5.3,6.20194
535,5.35,6.17862
540,5.4,6.15518
545,5.45,6.1316
550,5.5,6.10789
555,5.55,6.08404
560,5.6,6.06006
565,5.65,6.03594
570,5.7,6.01169
575,5.75,5.98729
580,5.8,5.96276
585,5.85,5.93809
590,5.9,5.91327
595,5.95,5.88832
600,6,5.86322
605,6.05,5.83798
610,6.1,5.8126
615,6.15,5.78708
620,6.2,5.7614
625,6.25,5.73559
630,6.3,5.70962
635,6.35,5.68351
640,6.4,5.65725
645,6.45,5.63084
650,6.5,5.60428
655,6.55,5.57757
660,6.6,5.5507
665,6.65,5.52369
670,6.7,5.49652
675,6.75,5.4692
