step,time,sep
0,0,10.441
5,0.05,10.3644
10,0.1,10.2877
15,0.15,10.2111
20,0.2,10.1345
25,0.25,10.0579
30,0.3,9.98134
35,0.35,9.90475
40,0.4,9.82816
45,0.45,9.75159
50,0.5,9.67502
55,0.55,9.59845
60,0.6,9.5219
65,0.65,9.44535
70,0.7,9.36881
75,0.75,9.29228
80,0.8,9.21577
85,0.85,9.13926
90,0.9,9.06277
95,0.95,8.98628
100,1,8.90982
105,1.05,8.83336
110,1.1,8.75692
115,1.15,8.6805
120,1.2,8.6041
125,1.25,8.52771
130,1.3,8.45134
135,1.35,8.375
140,1.4,8.29867
145,1.45,8.22237
150,1.5,8.14609
155,1.55,8.06983
160,1.6,7.99361
165,1.65,7.91741
170,1.7,7.84124
175,1.75,7.7651
180,1.8,7.689
185,1.85,7.61293
190,1.9,7.53689
195,1.95,7.4609
200,2,7.38494
205,2.05,7.30903
210,2.1,7.23316
215,2.15,7.15734
220,2.2,7.08157
225,2.25,7.00585
230,2.3,6.93018
235,2.35,6.85457
240,2.4,6.77903
245,2.45,6.70354
250,2.5,6.62812
255,2.55,6.55278
260,2.6,6.4775
265,2.65,6.40231
270,2.7,6.3272
275,2.75,6.25217
280,2.8,6.17723
285,2.85,6.1024
290,2.9,6.02766
295,2.95,5.95303
300,3,5.87851
305,3.05,5.80411
310,3.1,5.72984
315,3.15,5.6557
320,3.2,5.5817
325,3.25,5.50785
330,3.3,5.43416
335,3.35,5.36063
340,3.4,5.28728
345,3.45,5.21411
350,3.5,5.14114
355,3.55,5.06839
360,3.6,4.99585
365,3.65,4.92355
370,3.7,4.8515
375,3.75,4.77972
380,3.8,4.70822
385,3.85,4.63702
390,3.9,4.56614
395,3.95,4.4956
400,4,4.42543
405,4.05,4.35565
410,4.1,4.28628
415,4.15,4.21735
420,4.2,4.1489
425,4.25,4.08096
430,4.3,4.01355
435,4.35,3.94673
440,4.4,3.88052
445,4.45,3.81497
450,4.5,3.75012
455,4.55,3.68603
