frame,median_sep,dense_core_sep
0,8.0648,8.0646
1,8.0386,8.0383
2,8.0118,8.0116
3,7.9844,7.9847
4,7.9563,7.9571
5,7.9290,7.9296
6,7.9007,7.9018
7,7.8722,7.8734
8,7.8434,7.8447
9,7.8146,7.8163
10,7.7864,7.7879
11,7.7590,7.7599
12,7.7306,7.7311
13,7.7016,7.7017
14,7.6738,7.6728
15,7.6452,7.6433
16,7.6152,7.6135
17,7.5834,7.5820
18,7.5498,7.5495
19,7.5158,7.5168
20,7.4823,7.4842
21,7.4496,7.4519
22,7.4169,7.4193
23,7.3839,7.3864
24,7.3513,7.3538
25,7.3186,7.3208
26,7.2853,7.2873
27,7.2520,7.2538
28,7.2148,7.2186
29,7.1755,7.1822
30,7.1347,7.1446
31,7.0933,7.1072
32,7.0529,7.0696
33,7.0129,7.0321
34,6.9740,6.9945
35,6.9339,6.9554
36,6.8948,6.9174
37,6.8572,6.8804
38,6.8221,6.8453
39,6.7874,6.8107
40,6.7540,6.7778
41,6.7222,6.7478
42,6.6944,6.7218
43,6.6686,6.6987
44,6.6433,6.6762
45,6.6162,6.6546
46,6.5875,6.6348
47,6.5563,6.6161
48,6.5218,6.5967
49,6.4839,6.5763
50,6.4417,6.5513
51,6.3983,6.5238
52,6.3541,6.4925
53,6.3124,6.4588
54,6.2727,6.4226
55,6.2331,6.3823
56,6.1916,6.3384
57,6.1477,6.2943
58,6.1002,6.2472
59,6.0496,6.1983
60,5.9983,6.1496
61,5.9483,6.1015
62,5.9008,6.0543
63,5.8556,6.0071
64,5.8110,5.9608
65,5.7658,5.9115
66,5.7205,5.8606
67,5.6689,5.8050
68,5.6137,5.7471
69,5.5578,5.6872
70,5.5003,5.6252
71,5.4421,5.5625
72,5.3834,5.4998
73,5.3233,5.4365
74,5.2624,5.3752
75,5.2009,5.3142
76,5.1375,5.2526
77,5.0727,5.1911
78,5.0079,5.1301
79,4.9441,5.0692
80,4.8809,5.0084
81,4.8166,4.9455
82,4.7500,4.8824
83,4.6802,4.8175
84,4.6078,4.7513
85,4.5342,4.6856
86,4.4602,4.6196
87,4.3866,4.5532
88,4.3128,4.4868
89,4.2384,4.4200
90,4.1638,4.3524
91,4.0897,4.2855
92,4.0165,4.2189
93,3.9465,4.1536
94,3.8781,4.0884
95,3.8095,4.0217
96,3.7419,3.9561
97,3.6736,3.8920
98,3.6038,3.8280
99,3.5332,3.7656
100,3.4613,3.7025
101,3.3865,3.6381
102,3.3099,3.5710
103,3.2319,3.5014
104,3.1532,3.4303
105,3.0746,3.3585
106,2.9960,3.2855
107,2.9177,3.2104
108,2.8402,3.1339
109,2.7636,3.0562
110,2.6882,2.9780
111,2.6144,2.8998
112,2.5416,2.8212
113,2.4695,2.7423
114,2.3978,2.6639
115,2.3256,2.5851
116,2.2535,2.5067
117,2.1808,2.4288
118,2.1092,2.3518
119,2.0367,2.2758
120,1.9624,2.2013
121,1.8878,2.1273
122,1.8132,2.0547
123,1.7405,1.9838
124,1.6699,1.9148
125,1.6015,1.8472
126,1.5361,1.7816
127,1.4759,1.7180
128,1.4203,1.6582
129,1.3716,1.6026
130,1.3337,1.5526
131,1.3023,1.5066
132,1.2779,1.4652
133,1.2552,1.4248
134,1.2360,1.3889
135,1.2196,1.3598
136,1.2085,1.3384
137,1.2086,1.3284
138,1.2210,1.3239
139,1.2393,1.3131
140,1.2573,1.3004
141,1.2732,1.2941
142,1.2920,1.2989
143,1.3038,1.3092
144,1.3173,1.3251
145,1.3374,1.3455
146,1.3660,1.3697
147,1.4010,1.3960
148,1.4365,1.4222
149,1.4651,1.4444
150,1.4864,1.4635
151,1.5025,1.4808
152,1.5136,1.4967
153,1.5197,1.5097
154,1.5219,1.5217
155,1.5205,1.5312
156,1.5178,1.5414
157,1.5127,1.5480
158,1.5061,1.5533
159,1.4972,1.5580
160,1.4864,1.5609
161,1.4726,1.5592
162,1.4585,1.5568
163,1.4431,1.5530
164,1.4279,1.5484
165,1.4134,1.5419
166,1.3984,1.5320
167,1.3826,1.5184
168,1.3657,1.4996
169,1.3458,1.4734
170,1.3255,1.4411
171,1.3044,1.4013
172,1.2837,1.3581
173,1.2658,1.3159
174,1.2505,1.2813
175,1.2376,1.2584
176,1.2265,1.2557
177,1.2172,1.2694
178,1.2109,1.2990
179,1.2059,1.3330
180,1.2036,1.3763
181,1.2057,1.4241
182,1.2107,1.4744
183,1.2184,1.5236
184,1.2313,1.5748
185,1.2479,1.6226
186,1.2672,1.6663
187,1.2895,1.7064
188,1.3146,1.7421
189,1.3418,1.7710
190,1.3698,1.7971
191,1.3993,1.8201
192,1.4289,1.8414
193,1.4577,1.8585
194,1.4867,1.8729
195,1.5130,1.8846
196,1.5373,1.8962
197,1.5570,1.9020
198,1.5734,1.9065
199,1.5853,1.9067
200,1.5900,1.8999
201,1.5859,1.8858
202,1.5755,1.8650
203,1.5654,1.8477
204,1.5617,1.8342
205,1.5609,1.8233
206,1.5593,1.8079
207,1.5565,1.7880
208,1.5506,1.7661
209,1.5411,1.7365
210,1.5273,1.7017
211,1.5112,1.6645
212,1.4923,1.6289
213,1.4696,1.5946
214,1.4444,1.5595
215,1.4219,1.5263
216,1.4010,1.4884
217,1.3788,1.4415
218,1.3540,1.3889
219,1.3253,1.3378
220,1.2929,1.2926
221,1.2567,1.2504
222,1.2177,1.2119
223,1.1746,1.1694
224,1.1285,1.1262
225,1.0785,1.0803
226,1.0272,1.0351
227,0.9729,0.9893
228,0.9165,0.9425
229,0.8564,0.8950
230,0.7908,0.8444
231,0.7194,0.7912
232,0.6433,0.7401
233,0.5654,0.6926
234,0.4902,0.6509
235,0.4312,0.6172
236,0.3908,0.5884
237,0.3541,0.5640
238,0.3176,0.5437
239,0.2812,0.5283
240,0.2436,0.5148
241,0.2097,0.5050
242,0.1807,0.4990
243,0.1623,0.4968
244,0.1601,0.4974
245,0.1707,0.4996
246,0.1862,0.5021
247,0.1995,0.5051
248,0.2099,0.5072
249,0.2165,0.5071
250,0.2228,0.5044
251,0.2323,0.4996
252,0.2512,0.4926
253,0.2823,0.4854
254,0.3301,0.4827
255,0.3903,0.4874
256,0.4557,0.5034
257,0.5233,0.5290
258,0.5906,0.5625
259,0.6549,0.6038
260,0.7134,0.6503
261,0.7664,0.6933
262,0.8134,0.7301
263,0.8541,0.7602
264,0.8880,0.7856
265,0.9163,0.8051
266,0.9384,0.8192
267,0.9556,0.8285
268,0.9686,0.8327
269,0.9771,0.8319
270,0.9813,0.8269
271,0.9828,0.8180
272,0.9797,0.8041
273,0.9721,0.7862
274,0.9608,0.7641
275,0.9453,0.7377
276,0.9265,0.7066
277,0.9042,0.6707
278,0.8781,0.6293
279,0.8461,0.5835
280,0.8096,0.5319
281,0.7704,0.4738
282,0.7298,0.4083
283,0.6873,0.3348
284,0.6436,0.2548
285,0.6044,0.1736
286,0.5776,0.1031
287,0.5704,0.0674
288,0.5833,0.0758
289,0.6014,0.1023
290,0.6194,0.1287
291,0.6371,0.1530
292,0.6539,0.1754
