step,time,sep
0,0,8.06291
5,0.05,8.04988
10,0.1,8.03677
15,0.15,8.02359
20,0.2,8.01034
25,0.25,7.997
30,0.3,7.98359
35,0.35,7.97011
40,0.4,7.95655
45,0.45,7.94291
50,0.5,7.92919
55,0.55,7.9154
60,0.6,7.90153
65,0.65,7.88758
70,0.7,7.87355
75,0.75,7.85944
80,0.8,7.84526
85,0.85,7.83099
90,0.9,7.81665
95,0.95,7.80222
100,1,7.78772
105,1.05,7.77313
110,1.1,7.75847
115,1.15,7.74372
120,1.2,7.72889
125,1.25,7.71398
130,1.3,7.69899
135,1.35,7.68391
140,1.4,7.66875
145,1.45,7.65351
150,1.5,7.63819
155,1.55,7.62278
160,1.6,7.60728
165,1.65,7.59171
170,1.7,7.57604
175,1.75,7.56029
180,1.8,7.54446
185,1.85,7.52854
190,1.9,7.51253
195,1.95,7.49644
200,2,7.48026
205,2.05,7.46399
210,2.1,7.44763
215,2.15,7.43118
220,2.2,7.41464
225,2.25,7.39802
230,2.3,7.3813
235,2.35,7.36449
240,2.4,7.3476
245,2.45,7.33061
250,2.5,7.31352
255,2.55,7.29635
260,2.6,7.27908
265,2.65,7.26172
270,2.7,7.24427
275,2.75,7.22672
280,2.8,7.20908
285,2.85,7.19134
290,2.9,7.1735
295,2.95,7.15557
300,3,7.13754
305,3.05,7.11941
310,3.1,7.10119
315,3.15,7.08287
320,3.2,7.06444
325,3.25,7.04592
330,3.3,7.0273
335,3.35,7.00857
340,3.4,6.98975
345,3.45,6.97082
350,3.5,6.95179
355,3.55,6.93265
360,3.6,6.91341
365,3.65,6.89407
370,3.7,6.87462
375,3.75,6.85506
380,3.8,6.8354
385,3.85,6.81563
390,3.9,6.79575
395,3.95,6.77577
400,4,6.75567
405,4.05,6.73546
410,4.1,6.71514
415,4.15,6.69471
420,4.2,6.67417
425,4.25,6.65351
430,4.3,6.63274
435,4.35,6.61186
440,4.4,6.59086
445,4.45,6.56974
450,4.5,6.5485
455,4.55,6.52715
460,4.6,6.50568
465,4.65,6.48408
470,4.7,6.46237
475,4.75,6.44054
480,4.8,6.41858
485,4.85,6.3965
490,4.9,6.3743
495,4.95,6.35197
500,5,6.32952
505,5.05,6.30694
510,5.1,6.28423
515,5.15,6.26139
520,5.2,6.23843
525,5.25,6.21533
530,5.3,6.1921
535,5.35,6.16875
540,5.4,6.14525
545,5.45,6.12163
550,5.5,6.09787
555,5.55,6.07398
560,5.6,6.04994
565,5.65,6.02578
570,5.7,6.00147
575,5.75,5.97702
580,5.8,5.95244
585,5.85,5.92771
590,5.9,5.90285
595,5.95,5.87784
600,6,5.85268
605,6.05,5.82739
610,6.1,5.80194
615,6.15,5.77635
620,6.2,5.75062
625,6.25,5.72474
630,6.3,5.6987
635,6.35,5.67252
640,6.4,5.64619
645,6.45,5.61971
650,6.5,5.59308
655,6.55,5.56629
660,6.6,5.53935
665,6.65,5.51226
670,6.7,5.48502
675,6.75,5.45762
680,6.8,5.43006
685,6.85,5.40235
690,6.9,5.37448
695,6.95,5.34645
700,7,5.31826
705,7.05,5.28992
710,7.1,5.26141
715,7.15,5.23275
720,7.2,5.20393
725,7.25,5.17494
730,7.3,5.1458
735,7.35,5.11649
740,7.4,5.08702
745,7.45,5.05739
750,7.5,5.02759
755,7.55,4.99763
760,7.6,4.96751
765,7.65,4.93722
770,7.7,4.90677
775,7.75,4.87615
780,7.8,4.84536
785,7.85,4.81442
790,7.9,4.7833
795,7.95,4.75202
800,8,4.72057
805,8.05,4.68895
810,8.1,4.65717
815,8.15,4.62522
820,8.2,4.5931
825,8.25,4.56082
830,8.3,4.52836
835,8.35,4.49574
840,8.4,4.46295
845,8.45,4.42999
850,8.5,4.39687
855,8.55,4.36357
860,8.6,4.3301
865,8.65,4.29647
870,8.7,4.26267
875,8.75,4.2287
880,8.8,4.19456
885,8.85,4.16025
890,8.9,4.12577
895,8.95,4.09113
900,9,4.05631
905,9.05,4.02133
910,9.1,3.98619
915,9.15,3.95087
920,9.2,3.91539
925,9.25,3.87974
930,9.3,3.84393
935,9.35,3.80795
940,9.4,3.7718
945,9.45,3.73549
950,9.5,3.69902
955,9.55,3.66238
960,9.6,3.62559
965,9.65,3.58863
970,9.7,3.55151
975,9.75,3.51423
980,9.8,3.47679
985,9.85,3.4392
990,9.9,3.40145
995,9.95,3.36355
1000,10,3.32549
1005,10.05,3.28729
1010,10.1,3.24893
1015,10.15,3.21043
1020,10.2,3.17178
1025,10.25,3.13299
1030,10.3,3.09406
1035,10.35,3.05499
1040,10.4,3.01578
1045,10.45,2.97645
1050,10.5,2.93699
1055,10.55,2.89741
1060,10.6,2.85772
1065,10.65,2.81792
1070,10.7,2.77802
1075,10.75,2.73803
1080,10.8,2.69795
1085,10.85,2.65781
1090,10.9,2.6176
1095,10.95,2.57735
1100,11,2.53708
1105,11.05,2.49679
1110,11.1,2.45651
1115,11.15,2.41626
1120,11.2,2.37608
1125,11.25,2.33599
1130,11.3,2.29601
1135,11.35,2.25616
1140,11.4,2.21649
1145,11.45,2.177
1150,11.5,2.13772
1155,11.55,2.09869
1160,11.6,2.05992
1165,11.65,2.02144
1170,11.7,1.98328
1175,11.75,1.94546
1180,11.8,1.90801
1185,11.85,1.87095
1190,11.9,1.83432
1195,11.95,1.79814
1200,12,1.76245
1205,12.05,1.72727
1210,12.1,1.69265
1215,12.15,1.65862
1220,12.2,1.62523
1225,12.25,1.59252
1230,12.3,1.56053
1235,12.35,1.52932
1240,12.4,1.49894
1245,12.45,1.46945
1250,12.5,1.44092
1255,12.55,1.41342
1260,12.6,1.38702
1265,12.65,1.36181
1270,12.7,1.33789
1275,12.75,1.31534
1280,12.8,1.29429
1285,12.85,1.27485
1290,12.9,1.25713
1295,12.95,1.24126
1300,13,1.22733
1305,13.05,1.2154
1310,13.1,1.20547
1315,13.15,1.19751
1320,13.2,1.19144
1325,13.25,1.18713
1330,13.3,1.18445
1335,13.35,1.18327
1340,13.4,1.18346
1345,13.45,1.18488
1350,13.5,1.18745
1355,13.55,1.19104
1360,13.6,1.19558
1365,13.65,1.20097
1370,13.7,1.20713
1375,13.75,1.214
1380,13.8,1.22148
1385,13.85,1.22953
1390,13.9,1.23807
1395,13.95,1.24704
1400,14,1.2564
1405,14.05,1.26607
1410,14.1,1.27601
1415,14.15,1.28617
1420,14.2,1.2965
1425,14.25,1.30695
1430,14.3,1.3175
1435,14.35,1.32809
1440,14.4,1.3387
1445,14.45,1.3493
1450,14.5,1.35986
1455,14.55,1.37036
1460,14.6,1.38078
1465,14.65,1.3911
1470,14.7,1.4013
1475,14.75,1.41137
1480,14.8,1.42129
1485,14.85,1.43105
1490,14.9,1.44065
1495,14.95,1.45007
1500,15,1.4593
1505,15.05,1.46834
1510,15.1,1.47717
1515,15.15,1.48579
1520,15.2,1.4942
1525,15.25,1.50238
1530,15.3,1.51033
1535,15.35,1.51805
1540,15.4,1.52552
1545,15.45,1.53275
1550,15.5,1.53973
1555,15.55,1.54646
1560,15.6,1.55293
1565,15.65,1.55913
1570,15.7,1.56507
1575,15.75,1.57074
1580,15.8,1.57613
1585,15.85,1.58125
1590,15.9,1.58608
1595,15.95,1.59064
1600,16,1.59491
1605,16.05,1.5989
1610,16.1,1.60261
1615,16.15,1.60606
1620,16.2,1.60924
1625,16.25,1.61218
1630,16.3,1.6149
1635,16.35,1.61741
1640,16.4,1.61974
1645,16.45,1.6219
1650,16.5,1.62392
1655,16.55,1.62581
1660,16.6,1.6276
1665,16.65,1.62929
1670,16.7,1.63091
1675,16.75,1.63246
1680,16.8,1.63397
1685,16.85,1.63545
1690,16.9,1.63691
1695,16.95,1.63837
1700,17,1.63984
1705,17.05,1.64133
1710,17.1,1.64285
1715,17.15,1.64442
1720,17.2,1.64604
1725,17.25,1.64773
1730,17.3,1.64948
1735,17.35,1.6513
1740,17.4,1.6532
1745,17.45,1.65517
1750,17.5,1.65723
1755,17.55,1.65937
1760,17.6,1.6616
1765,17.65,1.6639
1770,17.7,1.66628
1775,17.75,1.66873
1780,17.8,1.67125
1785,17.85,1.67384
1790,17.9,1.67649
1795,17.95,1.67919
1800,18,1.68194
1805,18.05,1.68473
1810,18.1,1.68756
1815,18.15,1.69041
1820,18.2,1.6933
1825,18.25,1.69619
1830,18.3,1.6991
1835,18.35,1.70202
1840,18.4,1.70493
1845,18.45,1.70784
1850,18.5,1.71073
1855,18.55,1.7136
1860,18.6,1.71644
1865,18.65,1.71925
1870,18.7,1.72202
1875,18.75,1.72474
1880,18.8,1.72742
1885,18.85,1.73003
1890,18.9,1.73259
1895,18.95,1.73509
1900,19,1.73752
1905,19.05,1.73987
1910,19.1,1.74216
1915,19.15,1.74437
1920,19.2,1.7465
1925,19.25,1.74855
1930,19.3,1.75054
1935,19.35,1.75245
1940,19.4,1.75429
1945,19.45,1.75606
1950,19.5,1.75777
1955,19.55,1.75942
1960,19.6,1.76101
1965,19.65,1.76253
1970,19.7,1.764
1975,19.75,1.76541
1980,19.8,1.76677
1985,19.85,1.76807
1990,19.9,1.76932
1995,19.95,1.77052
2000,20,1.77167
2005,20.05,1.77277
2010,20.1,1.77383
2015,20.15,1.77485
2020,20.2,1.77583
2025,20.25,1.77677
2030,20.3,1.77769
2035,20.35,1.77858
2040,20.4,1.77945
2045,20.45,1.78031
2050,20.5,1.78116
2055,20.55,1.782
2060,20.6,1.78284
2065,20.65,1.78369
2070,20.7,1.78453
2075,20.75,1.78538
2080,20.8,1.78624
2085,20.85,1.78709
2090,20.9,1.78796
2095,20.95,1.78882
2100,21,1.78968
2105,21.05,1.79054
2110,21.1,1.79139
2115,21.15,1.79225
2120,21.2,1.79311
2125,21.25,1.79398
2130,21.3,1.79487
2135,21.35,1.79578
2140,21.4,1.79672
2145,21.45,1.79769
2150,21.5,1.79871
2155,21.55,1.79977
2160,21.6,1.80087
2165,21.65,1.80202
2170,21.7,1.80322
2175,21.75,1.80448
2180,21.8,1.80581
2185,21.85,1.8072
2190,21.9,1.80866
2195,21.95,1.8102
2200,22,1.81183
2205,22.05,1.81355
2210,22.1,1.81537
2215,22.15,1.8173
2220,22.2,1.81934
2225,22.25,1.8215
2230,22.3,1.82379
2235,22.35,1.8262
2240,22.4,1.82874
2245,22.45,1.83142
2250,22.5,1.83424
2255,22.55,1.8372
2260,22.6,1.84031
2265,22.65,1.84356
2270,22.7,1.84696
2275,22.75,1.85051
2280,22.8,1.85422
2285,22.85,1.85808
2290,22.9,1.8621
2295,22.95,1.86628
2300,23,1.87061
2305,23.05,1.8751
2310,23.1,1.87975
2315,23.15,1.88456
2320,23.2,1.88953
2325,23.25,1.89466
2330,23.3,1.89996
2335,23.35,1.90544
2340,23.4,1.91108
2345,23.45,1.91692
2350,23.5,1.92294
2355,23.55,1.92916
2360,23.6,1.93559
2365,23.65,1.94223
2370,23.7,1.9491
2375,23.75,1.95622
2380,23.8,1.96359
2385,23.85,1.97122
2390,23.9,1.97914
2395,23.95,1.98735
2400,24,1.99585
2405,24.05,2.00467
2410,24.1,2.01381
2415,24.15,2.02328
2420,24.2,2.03308
2425,24.25,2.04324
2430,24.3,2.05375
2435,24.35,2.06463
2440,24.4,2.07589
2445,24.45,2.08752
2450,24.5,2.09954
2455,24.55,2.11194
2460,24.6,2.12473
2465,24.65,2.13791
2470,24.7,2.15147
2475,24.75,2.16543
2480,24.8,2.17977
2485,24.85,2.19449
2490,24.9,2.20958
2495,24.95,2.22505
2500,25,2.24088
2505,25.05,2.25708
2510,25.1,2.27362
2515,25.15,2.29049
2520,25.2,2.30767
2525,25.25,2.32513
2530,25.3,2.34285
2535,25.35,2.3608
2540,25.4,2.37892
2545,25.45,2.39719
2550,25.5,2.41554
2555,25.55,2.43393
