step,time,sep
0,0,10.4444
5,0.05,10.3678
10,0.1,10.2912
15,0.15,10.2145
20,0.2,10.1379
25,0.25,10.0613
30,0.3,9.98468
35,0.35,9.90807
40,0.4,9.83147
45,0.45,9.75487
50,0.5,9.67828
55,0.55,9.60169
60,0.6,9.52512
65,0.65,9.44855
70,0.7,9.37199
75,0.75,9.29545
80,0.8,9.21891
85,0.85,9.14238
90,0.9,9.06587
95,0.95,8.98937
100,1,8.91288
105,1.05,8.83641
110,1.1,8.75995
115,1.15,8.68351
120,1.2,8.60709
125,1.25,8.53068
130,1.3,8.4543
135,1.35,8.37793
140,1.4,8.30159
145,1.45,8.22527
150,1.5,8.14897
155,1.55,8.0727
160,1.6,7.99645
165,1.65,7.92024
170,1.7,7.84405
175,1.75,7.7679
180,1.8,7.69177
185,1.85,7.61569
190,1.9,7.53964
195,1.95,7.46363
200,2,7.38765
205,2.05,7.31173
210,2.1,7.23584
215,2.15,7.16001
220,2.2,7.08422
225,2.25,7.00848
230,2.3,6.9328
235,2.35,6.85718
240,2.4,6.78162
245,2.45,6.70612
250,2.5,6.63069
255,2.55,6.55534
260,2.6,6.48005
265,2.65,6.40485
270,2.7,6.32972
275,2.75,6.25469
280,2.8,6.17974
285,2.85,6.1049
290,2.9,6.03015
295,2.95,5.95552
300,3,5.88099
305,3.05,5.80659
310,3.1,5.73232
315,3.15,5.65817
320,3.2,5.58417
325,3.25,5.51032
330,3.3,5.43663
335,3.35,5.36311
340,3.4,5.28976
345,3.45,5.2166
350,3.5,5.14364
355,3.55,5.07089
360,3.6,4.99836
365,3.65,4.92608
370,3.7,4.85404
375,3.75,4.78227
380,3.8,4.71079
385,3.85,4.63961
390,3.9,4.56876
395,3.95,4.49825
400,4,4.4281
405,4.05,4.35835
410,4.1,4.28902
415,4.15,4.22013
420,4.2,4.15172
425,4.25,4.08381
430,4.3,4.01645
435,4.35,3.94967
440,4.4,3.8835
445,4.45,3.818
450,4.5,3.75321
455,4.55,3.68917
460,4.6,3.62593
465,4.65,3.56356
470,4.7,3.50211
475,4.75,3.44164
480,4.8,3.38222
485,4.85,3.32392
490,4.9,3.26681
495,4.95,3.21097
500,5,3.15647
505,5.05,3.10341
510,5.1,3.05186
515,5.15,3.00193
520,5.2,2.9537
525,5.25,2.90727
530,5.3,2.86276
535,5.35,2.82024
540,5.4,2.77983
545,5.45,2.74164
550,5.5,2.70576
555,5.55,2.67228
560,5.6,2.64132
565,5.65,2.61296
570,5.7,2.5873
575,5.75,2.5644
580,5.8,2.54436
585,5.85,2.52724
590,5.9,2.51309
595,5.95,2.50197
600,6,2.4939
605,6.05,2.48893
610,6.1,2.48705
615,6.15,2.48827
620,6.2,2.49258
625,6.25,2.49995
630,6.3,2.51035
635,6.35,2.52372
640,6.4,2.54002
645,6.45,2.55916
650,6.5,2.58108
655,6.55,2.60568
660,6.6,2.63288
665,6.65,2.66258
670,6.7,2.69468
675,6.75,2.72909
680,6.8,2.76569
685,6.85,2.8044
690,6.9,2.84511
695,6.95,2.88772
700,7,2.93213
705,7.05,2.97825
710,7.1,3.02599
715,7.15,3.07526
720,7.2,3.12597
725,7.25,3.17804
730,7.3,3.23139
735,7.35,3.28595
740,7.4,3.34165
745,7.45,3.39841
750,7.5,3.45618
755,7.55,3.51489
760,7.6,3.57449
765,7.65,3.63493
770,7.7,3.69614
775,7.75,3.75809
780,7.8,3.82073
785,7.85,3.88401
790,7.9,3.9479
795,7.95,4.01236
800,8,4.07736
805,8.05,4.14285
810,8.1,4.20882
815,8.15,4.27523
820,8.2,4.34206
825,8.25,4.40928
830,8.3,4.47686
835,8.35,4.54479
840,8.4,4.61304
845,8.45,4.6816
850,8.5,4.75045
855,8.55,4.81957
860,8.6,4.88894
865,8.65,4.95855
870,8.7,5.02838
875,8.75,5.09843
880,8.8,5.16867
885,8.85,5.23911
890,8.9,5.30971
895,8.95,5.38049
900,9,5.45142
905,9.05,5.5225
910,9.1,5.59372
915,9.15,5.66507
920,9.2,5.73654
925,9.25,5.80813
930,9.3,5.87983
935,9.35,5.95163
940,9.4,6.02354
945,9.45,6.09553
950,9.5,6.16761
955,9.55,6.23978
960,9.6,6.31202
965,9.65,6.38433
970,9.7,6.45672
975,9.75,6.52917
980,9.8,6.60168
985,9.85,6.67424
990,9.9,6.74687
995,9.95,6.81954
1000,10,6.89226
1005,10.05,6.96503
1010,10.1,7.03784
1015,10.15,7.11069
1020,10.2,7.18358
1025,10.25,7.25651
1030,10.3,7.32947
1035,10.35,7.40246
1040,10.4,7.47548
1045,10.45,7.54853
1050,10.5,7.62161
1055,10.55,7.69471
1060,10.6,7.76783
1065,10.65,7.84097
1070,10.7,7.91414
1075,10.75,7.98732
1080,10.8,8.06052
1085,10.85,8.13374
1090,10.9,8.20697
1095,10.95,8.28022
1100,11,8.35348
1105,11.05,8.42675
1110,11.1,8.50003
1115,11.15,8.57332
1120,11.2,8.64662
1125,11.25,8.71993
1130,11.3,8.79324
1135,11.35,8.86656
1140,11.4,8.93989
1145,11.45,9.01322
1150,11.5,9.08656
1155,11.55,9.1599
1160,11.6,9.23324
1165,11.65,9.30659
1170,11.7,9.37994
1175,11.75,9.45328
1180,11.8,9.52663
1185,11.85,9.59998
1190,11.9,9.67333
1195,11.95,9.74668
1200,12,9.82003
1205,12.05,9.89338
1210,12.1,9.96673
1215,12.15,10.0401
1220,12.2,10.1134
1225,12.25,10.1868
1230,12.3,10.2601
1235,12.35,10.3334
1240,12.4,10.4068
1245,12.45,10.4801
1250,12.5,10.5534
1255,12.55,10.6267
1260,12.6,10.7
1265,12.65,10.7733
1270,12.7,10.8466
1275,12.75,10.9199
1280,12.8,10.9932
1285,12.85,11.0665
1290,12.9,11.1398
1295,12.95,11.2131
1300,13,11.2864
1305,13.05,11.3596
1310,13.1,11.4329
1315,13.15,11.5061
1320,13.2,11.5794
1325,13.25,11.6526
1330,13.3,11.7259
1335,13.35,11.7991
1340,13.4,11.8723
1345,13.45,11.9455
1350,13.5,12.0187
1355,13.55,12.0919
1360,13.6,12.1651
1365,13.65,12.2383
1370,13.7,12.3115
1375,13.75,12.3846
1380,13.8,12.4578
1385,13.85,12.5309
1390,13.9,12.6041
1395,13.95,12.6772
1400,14,12.7503
1405,14.05,12.8235
1410,14.1,12.8966
1415,14.15,12.9697
1420,14.2,13.0428
1425,14.25,13.1159
1430,14.3,13.1889
1435,14.35,13.262
1440,14.4,13.3351
1445,14.45,13.4081
1450,14.5,13.4812
1455,14.55,13.5542
1460,14.6,13.6272
1465,14.65,13.7003
1470,14.7,13.7733
1475,14.75,13.8463
1480,14.8,13.9193
1485,14.85,13.9923
1490,14.9,14.0652
1495,14.95,14.1382
1500,15,14.2112
1505,15.05,14.2841
1510,15.1,14.3571
1515,15.15,14.43
1520,15.2,14.5029
1525,15.25,14.5758
1530,15.3,14.6488
1535,15.35,14.7217
1540,15.4,14.7946
1545,15.45,14.8674
1550,15.5,14.9403
1555,15.55,15.0132
1560,15.6,15.086
1565,15.65,15.1589
1570,15.7,15.2317
1575,15.75,15.3046
1580,15.8,15.3774
