step,time,total,relDrift
0,0,-0.423294,0
60,0.6,-0.423255,9.1332e-05
120,1.2,-0.423216,0.000183696
180,1.8,-0.423123,0.000402417
240,2.4,-0.423002,0.000689184
300,3,-0.422984,0.000732289
360,3.6,-0.422991,0.000714003
420,4.2,-0.422977,0.00074905
480,4.8,-0.422942,0.000831172
540,5.4,-0.422868,0.00100535
600,6,-0.422731,0.00132804
660,6.6,-0.422662,0.00149141
720,7.2,-0.422483,0.00191546
780,7.8,-0.422408,0.00209114
840,8.4,-0.4222,0.00258268
900,9,-0.422081,0.00286515
960,9.6,-0.421968,0.00313173
1020,10.2,-0.421845,0.00342128
1080,10.8,-0.421815,0.00349391
1140,11.4,-0.421572,0.00406657
1200,12,-0.421369,0.00454778
1260,12.6,-0.420897,0.00566142
1320,13.2,-0.420347,0.00696016
1380,13.8,-0.420744,0.00602401
1440,14.4,-0.420887,0.00568656
1500,15,-0.421154,0.00505512
1560,15.6,-0.421148,0.00506807
1620,16.2,-0.420989,0.00544363
1680,16.8,-0.421022,0.0053662
1740,17.4,-0.420384,0.00687443
1800,18,-0.419825,0.00819425
1860,18.6,-0.420336,0.00698617
1920,19.2,-0.420244,0.00720466
1980,19.8,-0.420157,0.00741108
2040,20.4,-0.420082,0.0075868
2100,21,-0.420343,0.00696984
2160,21.6,-0.420055,0.00765144
2220,22.2,-0.419828,0.00818617
2280,22.8,-0.419553,0.00883731
2340,23.4,-0.418701,0.0108506
2400,24,-0.419497,0.0089703
2460,24.6,-0.419948,0.00790363
2520,25.2,-0.418361,0.0116519
2580,25.8,-0.419235,0.00958818
2640,26.4,-0.419125,0.00984805
2700,27,-0.419012,0.0101139
2760,27.6,-0.418816,0.010578
2820,28.2,-0.418928,0.0103139
2880,28.8,-0.418424,0.0115034
2940,29.4,-0.418517,0.0112847
3000,30,-0.418211,0.0120066
