step,time,sep
0,0,8.0698
5,0.05,8.0569
10,0.1,8.04392
15,0.15,8.03086
20,0.2,8.01773
25,0.25,8.00452
30,0.3,7.99124
35,0.35,7.97788
40,0.4,7.96445
45,0.45,7.95093
50,0.5,7.93734
55,0.55,7.92368
60,0.6,7.90993
65,0.65,7.89611
70,0.7,7.88221
75,0.75,7.86823
80,0.8,7.85417
85,0.85,7.84003
90,0.9,7.82582
95,0.95,7.81152
100,1,7.79714
105,1.05,7.78269
110,1.1,7.76815
115,1.15,7.75353
120,1.2,7.73883
125,1.25,7.72405
130,1.3,7.70919
135,1.35,7.69424
140,1.4,7.67921
145,1.45,7.6641
150,1.5,7.6489
155,1.55,7.63363
160,1.6,7.61826
165,1.65,7.60282
170,1.7,7.58728
175,1.75,7.57167
180,1.8,7.55596
185,1.85,7.54018
190,1.9,7.5243
195,1.95,7.50834
200,2,7.49229
205,2.05,7.47615
210,2.1,7.45993
215,2.15,7.44361
220,2.2,7.42721
225,2.25,7.41072
230,2.3,7.39414
235,2.35,7.37747
240,2.4,7.3607
245,2.45,7.34385
250,2.5,7.3269
255,2.55,7.30986
260,2.6,7.29273
265,2.65,7.27551
270,2.7,7.25819
275,2.75,7.24077
280,2.8,7.22327
285,2.85,7.20566
290,2.9,7.18796
295,2.95,7.17017
300,3,7.15227
305,3.05,7.13428
310,3.1,7.1162
315,3.15,7.09801
320,3.2,7.07972
325,3.25,7.06133
330,3.3,7.04285
335,3.35,7.02426
340,3.4,7.00557
345,3.45,6.98678
350,3.5,6.96788
355,3.55,6.94888
360,3.6,6.92978
365,3.65,6.91057
370,3.7,6.89125
375,3.75,6.87183
380,3.8,6.8523
385,3.85,6.83267
390,3.9,6.81292
395,3.95,6.79307
400,4,6.77311
405,4.05,6.75303
410,4.1,6.73285
415,4.15,6.71255
420,4.2,6.69214
425,4.25,6.67162
430,4.3,6.65099
435,4.35,6.63023
440,4.4,6.60937
445,4.45,6.58838
450,4.5,6.56728
455,4.55,6.54606
460,4.6,6.52472
465,4.65,6.50327
470,4.7,6.48169
475,4.75,6.45999
480,4.8,6.43817
485,4.85,6.41622
490,4.9,6.39415
495,4.95,6.37196
500,5,6.34964
505,5.05,6.32719
510,5.1,6.30462
515,5.15,6.28192
520,5.2,6.25908
525,5.25,6.23612
530,5.3,6.21303
535,5.35,6.1898
540,5.4,6.16645
545,5.45,6.14296
550,5.5,6.11933
555,5.55,6.09557
560,5.6,6.07167
565,5.65,6.04764
570,5.7,6.02347
575,5.75,5.99916
580,5.8,5.97471
585,5.85,5.95011
590,5.9,5.92538
595,5.95,5.9005
600,6,5.87549
605,6.05,5.85032
610,6.1,5.82501
615,6.15,5.79956
620,6.2,5.77397
625,6.25,5.74822
630,6.3,5.72233
635,6.35,5.6963
640,6.4,5.67012
645,6.45,5.64379
650,6.5,5.61731
655,6.55,5.59068
660,6.6,5.56391
665,6.65,5.53698
670,6.7,5.50991
675,6.75,5.48268
680,6.8,5.4553
685,6.85,5.42778
690,6.9,5.40009
695,6.95,5.37226
700,7,5.34427
705,7.05,5.31613
710,7.1,5.28783
715,7.15,5.25938
720,7.2,5.23077
725,7.25,5.20201
730,7.3,5.17309
735,7.35,5.14401
740,7.4,5.11478
745,7.45,5.08539
750,7.5,5.05584
755,7.55,5.02614
760,7.6,4.99627
765,7.65,4.96625
770,7.7,4.93608
775,7.75,4.90574
780,7.8,4.87524
785,7.85,4.84458
790,7.9,4.81377
795,7.95,4.78279
800,8,4.75166
805,8.05,4.72037
810,8.1,4.68893
815,8.15,4.65732
820,8.2,4.62556
825,8.25,4.59364
830,8.3,4.56155
835,8.35,4.52931
840,8.4,4.49691
845,8.45,4.46435
850,8.5,4.43162
855,8.55,4.39874
860,8.6,4.36569
865,8.65,4.33249
870,8.7,4.29913
875,8.75,4.26561
880,8.8,4.23193
885,8.85,4.1981
890,8.9,4.16411
895,8.95,4.12996
900,9,4.09565
905,9.05,4.06118
910,9.1,4.02656
915,9.15,3.99177
920,9.2,3.95683
925,9.25,3.92173
930,9.3,3.88647
935,9.35,3.85105
940,9.4,3.81547
945,9.45,3.77973
950,9.5,3.74384
955,9.55,3.70778
960,9.6,3.67157
965,9.65,3.6352
970,9.7,3.59868
975,9.75,3.562
980,9.8,3.52516
985,9.85,3.48818
990,9.9,3.45105
995,9.95,3.41377
1000,10,3.37634
1005,10.05,3.33878
1010,10.1,3.30107
1015,10.15,3.26323
1020,10.2,3.22525
1025,10.25,3.18713
1030,10.3,3.14889
1035,10.35,3.11053
1040,10.4,3.07203
1045,10.45,3.03342
1050,10.5,2.9947
1055,10.55,2.95586
1060,10.6,2.91692
1065,10.65,2.87788
1070,10.7,2.83875
1075,10.75,2.79953
1080,10.8,2.76024
1085,10.85,2.72087
1090,10.9,2.68145
1095,10.95,2.64198
1100,11,2.60247
1105,11.05,2.56294
1110,11.1,2.5234
1115,11.15,2.48386
1120,11.2,2.44433
1125,11.25,2.40484
1130,11.3,2.3654
1135,11.35,2.32604
1140,11.4,2.28676
1145,11.45,2.24761
1150,11.5,2.2086
1155,11.55,2.16977
1160,11.6,2.13113
1165,11.65,2.09272
1170,11.7,2.05457
1175,11.75,2.01671
1180,11.8,1.97918
1185,11.85,1.942
1190,11.9,1.90523
1195,11.95,1.86888
1200,12,1.83302
1205,12.05,1.79767
1210,12.1,1.76289
1215,12.15,1.72871
1220,12.2,1.69519
1225,12.25,1.66238
1230,12.3,1.63033
1235,12.35,1.59908
1240,12.4,1.56871
1245,12.45,1.53926
1250,12.5,1.5108
1255,12.55,1.48338
1260,12.6,1.45708
1265,12.65,1.43196
1270,12.7,1.40811
1275,12.75,1.38559
1280,12.8,1.36449
1285,12.85,1.34489
1290,12.9,1.32685
1295,12.95,1.31041
1300,13,1.2956
1305,13.05,1.28241
1310,13.1,1.27082
1315,13.15,1.26078
1320,13.2,1.25226
1325,13.25,1.24519
1330,13.3,1.23953
1335,13.35,1.2352
1340,13.4,1.23214
1345,13.45,1.23028
1350,13.5,1.22954
1355,13.55,1.22988
1360,13.6,1.23121
1365,13.65,1.23347
1370,13.7,1.23661
1375,13.75,1.24057
1380,13.8,1.24528
1385,13.85,1.25071
1390,13.9,1.25678
1395,13.95,1.26345
1400,14,1.27068
1405,14.05,1.27841
1410,14.1,1.28659
1415,14.15,1.29519
1420,14.2,1.30416
1425,14.25,1.31345
1430,14.3,1.32303
1435,14.35,1.33285
1440,14.4,1.34288
1445,14.45,1.35309
1450,14.5,1.36342
1455,14.55,1.37385
1460,14.6,1.38434
1465,14.65,1.39485
1470,14.7,1.40537
1475,14.75,1.41585
1480,14.8,1.42627
1485,14.85,1.4366
1490,14.9,1.44683
1495,14.95,1.45693
1500,15,1.46688
1505,15.05,1.47666
1510,15.1,1.48625
1515,15.15,1.49564
1520,15.2,1.50482
1525,15.25,1.51377
1530,15.3,1.52249
1535,15.35,1.53096
1540,15.4,1.53917
1545,15.45,1.54712
1550,15.5,1.5548
1555,15.55,1.56221
1560,15.6,1.56934
1565,15.65,1.5762
1570,15.7,1.58278
1575,15.75,1.58907
1580,15.8,1.59508
1585,15.85,1.6008
1590,15.9,1.60623
1595,15.95,1.61136
1600,16,1.6162
1605,16.05,1.62075
1610,16.1,1.625
1615,16.15,1.62897
1620,16.2,1.63265
1625,16.25,1.63605
1630,16.3,1.63917
1635,16.35,1.64201
1640,16.4,1.64459
1645,16.45,1.6469
1650,16.5,1.64894
1655,16.55,1.65073
1660,16.6,1.65227
1665,16.65,1.65355
1670,16.7,1.6546
1675,16.75,1.65539
1680,16.8,1.65595
1685,16.85,1.65625
1690,16.9,1.65631
1695,16.95,1.65612
1700,17,1.65568
1705,17.05,1.65498
1710,17.1,1.65402
1715,17.15,1.65279
1720,17.2,1.65129
1725,17.25,1.64952
1730,17.3,1.64747
1735,17.35,1.64513
1740,17.4,1.6425
1745,17.45,1.63958
1750,17.5,1.63637
1755,17.55,1.63291
1760,17.6,1.62927
1765,17.65,1.62559
1770,17.7,1.62203
1775,17.75,1.61868
1780,17.8,1.61561
1785,17.85,1.61285
1790,17.9,1.61041
1795,17.95,1.60828
1800,18,1.60644
1805,18.05,1.60489
1810,18.1,1.60362
1815,18.15,1.60264
1820,18.2,1.60193
1825,18.25,1.60149
1830,18.3,1.60133
1835,18.35,1.60143
1840,18.4,1.6018
1845,18.45,1.60243
1850,18.5,1.60331
1855,18.55,1.60445
1860,18.6,1.60585
1865,18.65,1.60751
1870,18.7,1.6094
1875,18.75,1.61155
1880,18.8,1.61392
1885,18.85,1.61652
1890,18.9,1.61931
1895,18.95,1.62229
1900,19,1.62544
1905,19.05,1.62875
1910,19.1,1.6322
1915,19.15,1.6358
1920,19.2,1.63953
1925,19.25,1.64338
1930,19.3,1.64735
