step,time,sep
0,0,8.54265
5,0.1,8.51486
10,0.2,8.48679
15,0.3,8.45844
20,0.4,8.4298
25,0.5,8.40087
30,0.6,8.37164
35,0.7,8.34213
40,0.8,8.31231
45,0.9,8.2822
50,1,8.25178
55,1.1,8.22106
60,1.2,8.19004
65,1.3,8.1587
70,1.4,8.12706
75,1.5,8.09509
80,1.6,8.06281
85,1.7,8.03022
90,1.8,7.99729
95,1.9,7.96404
100,2,7.93046
105,2.1,7.89655
110,2.2,7.8623
115,2.3,7.82771
120,2.4,7.79278
125,2.5,7.75751
130,2.6,7.72188
135,2.7,7.68589
140,2.8,7.64955
145,2.9,7.61285
150,3,7.57578
155,3.1,7.53834
160,3.2,7.50052
165,3.3,7.46233
170,3.4,7.42375
175,3.5,7.38478
180,3.6,7.34541
185,3.7,7.30565
190,3.8,7.26548
195,3.9,7.2249
200,4,7.18391
205,4.1,7.14249
210,4.2,7.10065
215,4.3,7.05838
220,4.4,7.01567
225,4.5,6.97251
230,4.6,6.9289
235,4.7,6.88484
240,4.8,6.84032
245,4.9,6.79532
250,5,6.74985
255,5.1,6.7039
260,5.2,6.65746
265,5.3,6.61053
270,5.4,6.56309
275,5.5,6.51514
280,5.6,6.46668
285,5.7,6.41769
290,5.8,6.36818
295,5.9,6.31812
300,6,6.26752
305,6.1,6.21636
310,6.2,6.16465
315,6.3,6.11236
320,6.4,6.0595
325,6.5,6.00605
330,6.6,5.95202
335,6.7,5.89739
340,6.8,5.84216
345,6.9,5.78632
350,7,5.72986
355,7.1,5.67277
360,7.2,5.61504
365,7.3,5.55667
370,7.4,5.49765
375,7.5,5.43797
380,7.6,5.37764
385,7.7,5.31664
390,7.8,5.25497
395,7.9,5.19263
400,8,5.12961
405,8.1,5.0659
410,8.2,5.00149
415,8.3,4.93638
420,8.4,4.87057
425,8.5,4.80405
430,8.6,4.73681
435,8.7,4.66884
440,8.8,4.60014
445,8.9,4.5307
450,9,4.46051
455,9.1,4.38958
460,9.2,4.3179
465,9.3,4.24547
470,9.4,4.17228
475,9.5,4.09835
480,9.6,4.02367
485,9.7,3.94825
490,9.8,3.87208
495,9.9,3.79514
500,10,3.71743
505,10.1,3.63895
510,10.2,3.55975
515,10.3,3.47989
520,10.4,3.39942
525,10.5,3.31841
530,10.6,3.23691
535,10.7,3.15495
540,10.8,3.07255
545,10.9,2.98976
550,11,2.90665
555,11.1,2.82328
560,11.2,2.73973
565,11.3,2.65606
570,11.4,2.57232
575,11.5,2.48858
580,11.6,2.4049
585,11.7,2.32138
590,11.8,2.23815
595,11.9,2.15534
600,12,2.07309
605,12.1,1.99156
610,12.2,1.91098
615,12.3,1.83159
620,12.4,1.75366
625,12.5,1.67751
630,12.6,1.60353
635,12.7,1.53214
640,12.8,1.46385
645,12.9,1.39917
650,13,1.33865
655,13.1,1.28291
660,13.2,1.23251
665,13.3,1.18803
670,13.4,1.15003
675,13.5,1.11903
680,13.6,1.09548
685,13.7,1.07963
690,13.8,1.0715
695,13.9,1.07085
700,14,1.0772
705,14.1,1.08977
710,14.2,1.10752
715,14.3,1.12941
720,14.4,1.15464
725,14.5,1.18246
730,14.6,1.2122
735,14.7,1.24328
740,14.8,1.27521
745,14.9,1.30759
750,15,1.34011
755,15.1,1.37248
760,15.2,1.40449
