step,time,total,relDrift
0,0,-0.461886,0
40,0.8,-0.461783,0.000223118
80,1.6,-0.461598,0.000623499
120,2.4,-0.461219,0.00144535
160,3.2,-0.461064,0.00178133
200,4,-0.461012,0.00189334
240,4.8,-0.460758,0.00244209
280,5.6,-0.460658,0.00265903
320,6.4,-0.460483,0.0030383
360,7.2,-0.46032,0.00339085
400,8,-0.460295,0.00344471
440,8.8,-0.459789,0.00454089
480,9.6,-0.459754,0.00461758
520,10.4,-0.459288,0.00562506
560,11.2,-0.458739,0.00681384
600,12,-0.458291,0.00778426
640,12.8,-0.456588,0.0114721
680,13.6,-0.455326,0.0142037
720,14.4,-0.458226,0.00792568
760,15.2,-0.458621,0.00706993
800,16,-0.458535,0.00725653
840,16.8,-0.45339,0.018396
880,17.6,-0.457112,0.0103378
920,18.4,-0.457228,0.010085
960,19.2,-0.456801,0.01101
1000,20,-0.45633,0.0120301
1040,20.8,-0.456198,0.0123152
1080,21.6,-0.456276,0.0121464
1120,22.4,-0.455995,0.0127554
1160,23.2,-0.455768,0.0132473
1200,24,-0.455476,0.0138793
1240,24.8,-0.45548,0.0138695
1280,25.6,-0.455725,0.0133401
1320,26.4,-0.455673,0.0134517
1360,27.2,-0.455041,0.0148206
1400,28,-0.454848,0.0152395
1440,28.8,-0.454794,0.0153547
1480,29.6,-0.454715,0.0155263
1520,30.4,-0.454462,0.0160739
1560,31.2,-0.453998,0.0170794
1600,32,-0.454252,0.0165295
1640,32.8,-0.454566,0.0158485
1680,33.6,-0.453696,0.0177322
1720,34.4,-0.453972,0.017135
1760,35.2,-0.453695,0.0177346
1800,36,-0.453452,0.0182605
1840,36.8,-0.4537,0.0177231
1880,37.6,-0.453376,0.0184244
1920,38.4,-0.453458,0.0182473
1960,39.2,-0.453376,0.0184264
2000,40,-0.453397,0.0183807
2040,40.8,-0.452717,0.0198521
2080,41.6,-0.453031,0.019172
2120,42.4,-0.452826,0.0196162
2160,43.2,-0.452597,0.0201118
2200,44,-0.452691,0.0199076
2240,44.8,-0.452562,0.0201882
2280,45.6,-0.452804,0.0196643
2320,46.4,-0.452774,0.0197286
2360,47.2,-0.452745,0.0197921
2400,48,-0.452449,0.0204315
2440,48.8,-0.452594,0.0201193
2480,49.6,-0.45254,0.0202348
2520,50.4,-0.452471,0.0203838
2560,51.2,-0.452356,0.0206342
2600,52,-0.452284,0.02079
2640,52.8,-0.452242,0.0208802
2680,53.6,-0.452449,0.0204322
2720,54.4,-0.452145,0.0210897
2760,55.2,-0.452574,0.0201626
2800,56,-0.452276,0.0208062
2840,56.8,-0.452098,0.0211932
2880,57.6,-0.452158,0.0210618
2920,58.4,-0.452191,0.0209917
2960,59.2,-0.45207,0.0212523
3000,60,-0.452092,0.0212051
3040,60.8,-0.452025,0.0213503
3080,61.6,-0.451998,0.0214086
3120,62.4,-0.452146,0.0210888
3160,63.2,-0.45185,0.0217296
3200,64,-0.451944,0.0215249
3240,64.8,-0.452027,0.0213459
3280,65.6,-0.451573,0.0223292
3320,66.4,-0.451923,0.0215712
3360,67.2,-0.451758,0.0219286
3400,68,-0.451916,0.0215863
3440,68.8,-0.451721,0.0220084
3480,69.6,-0.451651,0.0221608
3520,70.4,-0.451763,0.0219175
3560,71.2,-0.451683,0.0220919
3600,72,-0.45161,0.022249
3640,72.8,-0.451757,0.0219305
3680,73.6,-0.451418,0.0226639
3720,74.4,-0.451345,0.0228217
3760,75.2,-0.451381,0.0227452
3800,76,-0.451322,0.0228729
3840,76.8,-0.4513,0.0229204
3880,77.6,-0.45106,0.023439
3920,78.4,-0.451196,0.0231451
3960,79.2,-0.451137,0.0232724
4000,80,-0.451018,0.0235297
