step,time,sep
0,0,7.28386
5,0.1,7.2746
10,0.2,7.26492
15,0.3,7.25482
20,0.4,7.2443
25,0.5,7.23336
30,0.6,7.22199
35,0.7,7.21019
40,0.8,7.19797
45,0.9,7.18532
50,1,7.17223
55,1.1,7.15871
60,1.2,7.14475
65,1.3,7.13035
70,1.4,7.11551
75,1.5,7.10022
80,1.6,7.08449
85,1.7,7.06831
90,1.8,7.05168
95,1.9,7.03459
100,2,7.01704
105,2.1,6.99903
110,2.2,6.98056
115,2.3,6.96162
120,2.4,6.9422
125,2.5,6.92231
130,2.6,6.90195
135,2.7,6.8811
140,2.8,6.85976
145,2.9,6.83793
150,3,6.81561
155,3.1,6.79279
160,3.2,6.76947
165,3.3,6.74564
170,3.4,6.7213
175,3.5,6.69644
180,3.6,6.67106
185,3.7,6.64515
190,3.8,6.61872
195,3.9,6.59175
200,4,6.56424
205,4.1,6.53618
210,4.2,6.50758
215,4.3,6.47842
220,4.4,6.44871
225,4.5,6.41843
230,4.6,6.38758
235,4.7,6.35615
240,4.8,6.32414
245,4.9,6.29155
250,5,6.25836
255,5.1,6.22457
260,5.2,6.19018
265,5.3,6.15518
270,5.4,6.11956
275,5.5,6.08332
280,5.6,6.04645
285,5.7,6.00894
290,5.8,5.97079
295,5.9,5.932
300,6,5.89255
305,6.1,5.85244
310,6.2,5.81167
315,6.3,5.77022
320,6.4,5.72809
325,6.5,5.68528
330,6.6,5.64178
335,6.7,5.59758
340,6.8,5.55268
345,6.9,5.50708
350,7,5.46077
355,7.1,5.41375
360,7.2,5.36602
365,7.3,5.31757
370,7.4,5.26841
375,7.5,5.21853
380,7.6,5.16792
385,7.7,5.11659
390,7.8,5.06452
395,7.9,5.01172
400,8,4.95816
405,8.1,4.90386
410,8.2,4.8488
415,8.3,4.79298
420,8.4,4.73639
425,8.5,4.67901
430,8.6,4.62084
435,8.7,4.56187
440,8.8,4.5021
445,8.9,4.44151
450,9,4.3801
455,9.1,4.31786
460,9.2,4.25479
465,9.3,4.19087
470,9.4,4.1261
475,9.5,4.06047
480,9.6,3.99399
485,9.7,3.92664
490,9.8,3.85843
495,9.9,3.78936
500,10,3.71943
505,10.1,3.64863
510,10.2,3.57696
515,10.3,3.50441
520,10.4,3.43098
525,10.5,3.35666
530,10.6,3.28142
535,10.7,3.20526
540,10.8,3.12816
545,10.9,3.05011
550,11,2.97109
555,11.1,2.89111
560,11.2,2.81017
565,11.3,2.72826
570,11.4,2.64538
575,11.5,2.56153
580,11.6,2.47672
585,11.7,2.39094
590,11.8,2.30416
595,11.9,2.21635
600,12,2.12747
605,12.1,2.03746
610,12.2,1.94632
615,12.3,1.85404
620,12.4,1.76062
625,12.5,1.66607
630,12.6,1.57043
635,12.7,1.47376
640,12.8,1.37618
645,12.9,1.27773
650,13,1.17864
655,13.1,1.08007
660,13.2,0.984554
665,13.3,0.896006
670,13.4,0.817001
675,13.5,0.74816
680,13.6,0.690079
685,13.7,0.643394
690,13.8,0.608503
695,13.9,0.585389
700,14,0.573521
