frame,median_sep,dense_core_sep
0,8.0624,8.0530
1,7.4327,7.4291
2,6.7856,6.8038
3,5.9608,5.9890
4,4.7017,4.7673
5,3.2884,3.2749
6,1.4923,1.4120
7,1.1127,1.1927
8,1.2180,1.6351
9,1.2673,1.4784
10,0.7253,0.1738
11,0.9469,0.5682
12,0.7574,0.3175
13,0.6392,0.1676
14,0.6035,0.1222
15,0.6947,0.2430
16,0.7613,0.2813
17,0.8086,0.2770
18,0.7619,0.2231
19,0.7320,0.1866
20,0.7939,0.2605
21,0.8314,0.3215
22,0.5802,0.1911
23,0.5091,0.1530
24,0.4741,0.1325
25,0.5134,0.1823
26,0.5570,0.1972
27,0.7639,0.2323
28,0.7113,0.2062
29,0.7437,0.2550
30,0.7307,0.2513
31,0.6180,0.1515
32,0.6028,0.1862
33,0.6029,0.2001
34,0.5418,0.1958
35,0.3835,0.0964
36,0.3853,0.1263
37,0.4490,0.1423
38,0.4959,0.1597
39,0.5370,0.1566
40,0.4839,0.1635
41,0.5471,0.1991
42,0.5895,0.2149
43,0.5609,0.1702
44,0.4948,0.1364
45,0.5234,0.1940
