step,time,total,relDrift
0,0,-0.42712,0
45,0.9,-0.42699,0.000304966
90,1.8,-0.426725,0.000924417
135,2.7,-0.426337,0.00183441
180,3.6,-0.426334,0.00184149
225,4.5,-0.426077,0.00244275
270,5.4,-0.425886,0.00288894
315,6.3,-0.425668,0.00340026
360,7.2,-0.425701,0.00332207
405,8.1,-0.425502,0.00378821
450,9,-0.424998,0.00496778
495,9.9,-0.424797,0.00543965
540,10.8,-0.424047,0.00719471
585,11.7,-0.423702,0.00800305
630,12.6,-0.422095,0.0117645
675,13.5,-0.42277,0.0101859
720,14.4,-0.422998,0.00965046
765,15.3,-0.422963,0.00973388
810,16.2,-0.423004,0.00963605
855,17.1,-0.422987,0.00967816
900,18,-0.423205,0.00916731
945,18.9,-0.422896,0.00988959
990,19.8,-0.422019,0.0119442
1035,20.7,-0.421429,0.0133241
1080,21.6,-0.422925,0.00982216
1125,22.5,-0.421673,0.0127529
1170,23.4,-0.421094,0.0141091
1215,24.3,-0.420781,0.0148413
1260,25.2,-0.420307,0.0159517
1305,26.1,-0.420743,0.0149297
1350,27,-0.420369,0.0158053
1395,27.9,-0.42044,0.0156407
1440,28.8,-0.420096,0.0164455
1485,29.7,-0.420336,0.0158845
1530,30.6,-0.42034,0.015874
1575,31.5,-0.42046,0.015594
1620,32.4,-0.420133,0.0163592
1665,33.3,-0.42004,0.0165765
1710,34.2,-0.41997,0.0167395
1755,35.1,-0.419936,0.0168204
1800,36,-0.419888,0.016933
1845,36.9,-0.419897,0.016911
1890,37.8,-0.420041,0.0165752
1935,38.7,-0.420225,0.0161446
1980,39.6,-0.419554,0.0177151
2025,40.5,-0.419631,0.017534
2070,41.4,-0.419693,0.0173883
2115,42.3,-0.419614,0.0175737
2160,43.2,-0.419232,0.0184694
2205,44.1,-0.41901,0.0189871
2250,45,-0.419512,0.0178119
2295,45.9,-0.41884,0.0193863
2340,46.8,-0.418898,0.0192497
2385,47.7,-0.418714,0.0196808
2430,48.6,-0.418855,0.0193506
2475,49.5,-0.418911,0.0192188
2520,50.4,-0.418518,0.0201394
2565,51.3,-0.418434,0.0203373
2610,52.2,-0.418229,0.0208163
2655,53.1,-0.418009,0.0213314
2700,54,-0.418269,0.020724
2745,54.9,-0.418216,0.0208482
2790,55.8,-0.418075,0.0211772
2835,56.7,-0.417812,0.0217936
2880,57.6,-0.418056,0.0212217
2925,58.5,-0.41795,0.021469
2970,59.4,-0.41797,0.0214226
3015,60.3,-0.417759,0.0219168
3060,61.2,-0.417442,0.0226589
3105,62.1,-0.417502,0.0225199
3150,63,-0.417312,0.0229647
3195,63.9,-0.417335,0.0229088
3240,64.8,-0.417141,0.0233636
3285,65.7,-0.417208,0.0232065
3330,66.6,-0.417022,0.0236433
3375,67.5,-0.416814,0.0241296
3420,68.4,-0.416487,0.0248957
3465,69.3,-0.416347,0.0252222
3510,70.2,-0.41631,0.0253101
3555,71.1,-0.416332,0.0252586
3600,72,-0.416336,0.0252492
3645,72.9,-0.416104,0.0257912
3690,73.8,-0.416003,0.0260284
3735,74.7,-0.415799,0.0265067
3780,75.6,-0.415864,0.026353
3825,76.5,-0.415716,0.0267006
3870,77.4,-0.415793,0.0265211
3915,78.3,-0.415842,0.0264061
3960,79.2,-0.415598,0.0269773
4005,80.1,-0.415805,0.0264923
4050,81,-0.415643,0.0268716
4095,81.9,-0.415717,0.0266991
4140,82.8,-0.41546,0.0272994
4185,83.7,-0.415407,0.027423
4230,84.6,-0.415598,0.0269766
4275,85.5,-0.415695,0.0267488
4320,86.4,-0.41561,0.0269491
4365,87.3,-0.41541,0.0274158
4410,88.2,-0.415423,0.0273873
4455,89.1,-0.415479,0.0272555
4500,90,-0.415414,0.0274064
