step,time,sep
0,0,8.06443
5,0.1,8.03871
10,0.2,8.01268
15,0.3,7.98634
20,0.4,7.95969
25,0.5,7.93274
30,0.6,7.90548
35,0.7,7.8779
40,0.8,7.85
45,0.9,7.82179
50,1,7.79325
55,1.1,7.76439
60,1.2,7.7352
65,1.3,7.70568
70,1.4,7.67583
75,1.5,7.64565
80,1.6,7.61513
85,1.7,7.58426
90,1.8,7.55305
95,1.9,7.52149
100,2,7.48959
105,2.1,7.45732
110,2.2,7.4247
115,2.3,7.39171
120,2.4,7.35836
125,2.5,7.32464
130,2.6,7.29055
135,2.7,7.25608
140,2.8,7.22123
145,2.9,7.18599
150,3,7.15036
155,3.1,7.11433
160,3.2,7.07791
165,3.3,7.04108
170,3.4,7.00385
175,3.5,6.9662
180,3.6,6.92813
185,3.7,6.88964
190,3.8,6.85071
195,3.9,6.81136
200,4,6.77156
205,4.1,6.73131
210,4.2,6.69062
215,4.3,6.64946
220,4.4,6.60784
225,4.5,6.56575
230,4.6,6.52319
235,4.7,6.48014
240,4.8,6.4366
245,4.9,6.39256
250,5,6.34803
255,5.1,6.30298
260,5.2,6.25742
265,5.3,6.21133
270,5.4,6.16472
275,5.5,6.11756
280,5.6,6.06987
285,5.7,6.02162
290,5.8,5.97281
295,5.9,5.92344
300,6,5.87351
305,6.1,5.823
310,6.2,5.77191
315,6.3,5.72024
320,6.4,5.66798
325,6.5,5.61512
330,6.6,5.56165
335,6.7,5.50757
340,6.8,5.45288
345,6.9,5.39756
350,7,5.34161
355,7.1,5.28502
360,7.2,5.22779
365,7.3,5.16991
370,7.4,5.11137
375,7.5,5.05218
380,7.6,4.99233
385,7.7,4.93181
390,7.8,4.87062
395,7.9,4.80877
400,8,4.74624
405,8.1,4.68304
410,8.2,4.61918
415,8.3,4.55466
420,8.4,4.4895
425,8.5,4.42368
430,8.6,4.35721
435,8.7,4.29008
440,8.8,4.22227
445,8.9,4.15378
450,9,4.08462
455,9.1,4.01478
460,9.2,3.94427
465,9.3,3.87309
470,9.4,3.80127
475,9.5,3.7288
480,9.6,3.65567
485,9.7,3.58189
490,9.8,3.50743
495,9.9,3.43231
500,10,3.35652
505,10.1,3.28006
510,10.2,3.20293
515,10.3,3.12511
520,10.4,3.04658
525,10.5,2.96733
530,10.6,2.88739
535,10.7,2.80676
