step,time,total,relDrift
0,0,-0.423262,0
60,0.6,-0.423135,0.000298392
120,1.2,-0.42298,0.000666458
180,1.8,-0.422464,0.00188432
240,2.4,-0.422129,0.00267663
300,3,-0.421973,0.00304462
360,3.6,-0.421714,0.00365655
420,4.2,-0.421339,0.00454335
480,4.8,-0.421013,0.00531202
540,5.4,-0.420709,0.00603095
600,6,-0.419807,0.00816174
660,6.6,-0.419799,0.00818025
720,7.2,-0.41938,0.00917041
780,7.8,-0.419075,0.00989112
840,8.4,-0.418604,0.0110036
900,9,-0.418624,0.0109571
960,9.6,-0.418238,0.0118697
1020,10.2,-0.417919,0.0126215
1080,10.8,-0.417871,0.0127352
1140,11.4,-0.417298,0.0140891
1200,12,-0.416917,0.0149902
1260,12.6,-0.416324,0.0163899
1320,13.2,-0.415031,0.0194469
1380,13.8,-0.416477,0.0160298
1440,14.4,-0.417137,0.0144691
1500,15,-0.417344,0.0139812
1560,15.6,-0.416732,0.0154277
1620,16.2,-0.416135,0.0168383
1680,16.8,-0.415887,0.0174224
1740,17.4,-0.415831,0.0175547
1800,18,-0.414674,0.0202903
1860,18.6,-0.413876,0.0221747
1920,19.2,-0.415227,0.0189826
1980,19.8,-0.414599,0.0204674
2040,20.4,-0.414727,0.0201649
2100,21,-0.414743,0.0201252
2160,21.6,-0.414654,0.0203352
2220,22.2,-0.414336,0.0210886
2280,22.8,-0.414001,0.0218794
2340,23.4,-0.413865,0.022201
2400,24,-0.413203,0.023765
2460,24.6,-0.412464,0.0255113
2520,25.2,-0.414363,0.0210241
2580,25.8,-0.414163,0.0214958
2640,26.4,-0.411073,0.0287979
2700,27,-0.412466,0.0255055
2760,27.6,-0.412531,0.0253532
2820,28.2,-0.412382,0.025705
2880,28.8,-0.412303,0.02589
2940,29.4,-0.412106,0.0263553
3000,30,-0.411812,0.0270508
