step,time,sep
0,0,8.0698
5,0.05,8.0569
10,0.1,8.04392
15,0.15,8.03086
20,0.2,8.01773
25,0.25,8.00452
30,0.3,7.99124
35,0.35,7.97788
40,0.4,7.96444
45,0.45,7.95093
50,0.5,7.93734
55,0.55,7.92367
60,0.6,7.90993
65,0.65,7.89611
70,0.7,7.88221
75,0.75,7.86823
80,0.8,7.85417
85,0.85,7.84003
90,0.9,7.82582
95,0.95,7.81152
100,1,7.79715
105,1.05,7.78269
110,1.1,7.76815
115,1.15,7.75354
120,1.2,7.73884
125,1.25,7.72406
130,1.3,7.7092
135,1.35,7.69425
140,1.4,7.67923
145,1.45,7.66412
150,1.5,7.64892
155,1.55,7.63365
160,1.6,7.61829
165,1.65,7.60284
170,1.7,7.58731
175,1.75,7.5717
180,1.8,7.556
185,1.85,7.54021
190,1.9,7.52434
195,1.95,7.50838
200,2,7.49233
205,2.05,7.47619
210,2.1,7.45997
215,2.15,7.44366
220,2.2,7.42726
225,2.25,7.41077
230,2.3,7.39419
235,2.35,7.37752
240,2.4,7.36076
245,2.45,7.34391
250,2.5,7.32697
255,2.55,7.30993
260,2.6,7.2928
265,2.65,7.27558
270,2.7,7.25827
275,2.75,7.24086
280,2.8,7.22335
285,2.85,7.20576
290,2.9,7.18806
295,2.95,7.17027
300,3,7.15238
305,3.05,7.13439
310,3.1,7.11631
315,3.15,7.09813
320,3.2,7.07984
325,3.25,7.06146
330,3.3,7.04298
335,3.35,7.0244
340,3.4,7.00571
345,3.45,6.98692
350,3.5,6.96803
355,3.55,6.94904
360,3.6,6.92994
365,3.65,6.91074
370,3.7,6.89143
375,3.75,6.87201
380,3.8,6.85249
385,3.85,6.83286
390,3.9,6.81313
395,3.95,6.79328
400,4,6.77332
405,4.05,6.75326
410,4.1,6.73308
415,4.15,6.71279
420,4.2,6.69239
425,4.25,6.67187
430,4.3,6.65124
435,4.35,6.6305
440,4.4,6.60964
445,4.45,6.58866
450,4.5,6.56757
455,4.55,6.54636
460,4.6,6.52503
465,4.65,6.50358
470,4.7,6.48201
475,4.75,6.46032
480,4.8,6.4385
485,4.85,6.41657
490,4.9,6.39451
495,4.95,6.37232
500,5,6.35001
505,5.05,6.32757
510,5.1,6.30501
515,5.15,6.28231
520,5.2,6.25949
525,5.25,6.23654
530,5.3,6.21345
535,5.35,6.19024
540,5.4,6.16689
545,5.45,6.14341
550,5.5,6.1198
555,5.55,6.09605
560,5.6,6.07216
565,5.65,6.04814
570,5.7,6.02398
575,5.75,5.99968
580,5.8,5.97524
585,5.85,5.95066
590,5.9,5.92594
595,5.95,5.90108
600,6,5.87607
605,6.05,5.85092
610,6.1,5.82563
615,6.15,5.8002
620,6.2,5.77462
625,6.25,5.74889
630,6.3,5.72302
635,6.35,5.697
640,6.4,5.67084
645,6.45,5.64453
650,6.5,5.61807
655,6.55,5.59147
660,6.6,5.56471
665,6.65,5.53781
670,6.7,5.51076
675,6.75,5.48355
680,6.8,5.4562
685,6.85,5.42869
690,6.9,5.40104
695,6.95,5.37323
700,7,5.34527
705,7.05,5.31715
710,7.1,5.28888
715,7.15,5.26046
720,7.2,5.23188
725,7.25,5.20314
730,7.3,5.17426
735,7.35,5.14521
740,7.4,5.11601
745,7.45,5.08665
750,7.5,5.05714
755,7.55,5.02747
760,7.6,4.99765
765,7.65,4.96766
770,7.7,4.93752
775,7.75,4.90722
780,7.8,4.87676
785,7.85,4.84615
790,7.9,4.81537
795,7.95,4.78444
800,8,4.75335
805,8.05,4.7221
810,8.1,4.69069
815,8.15,4.65913
820,8.2,4.62741
825,8.25,4.59553
830,8.3,4.56349
835,8.35,4.53129
840,8.4,4.49893
845,8.45,4.46641
850,8.5,4.43373
855,8.55,4.40089
860,8.6,4.36789
865,8.65,4.33473
870,8.7,4.30141
875,8.75,4.26793
880,8.8,4.2343
885,8.85,4.20051
890,8.9,4.16655
895,8.95,4.13244
900,9,4.09818
905,9.05,4.06375
910,9.1,4.02917
915,9.15,3.99442
920,9.2,3.95952
925,9.25,3.92446
930,9.3,3.88923
935,9.35,3.85384
940,9.4,3.8183
945,9.45,3.78259
950,9.5,3.74672
955,9.55,3.71069
960,9.6,3.67451
965,9.65,3.63816
970,9.7,3.60166
975,9.75,3.565
980,9.8,3.52819
985,9.85,3.49123
990,9.9,3.45411
995,9.95,3.41685
1000,10,3.37944
1005,10.05,3.34189
1010,10.1,3.30419
1015,10.15,3.26636
1020,10.2,3.22838
1025,10.25,3.19027
1030,10.3,3.15203
1035,10.35,3.11365
1040,10.4,3.07515
1045,10.45,3.03652
1050,10.5,2.99776
1055,10.55,2.95889
1060,10.6,2.9199
1065,10.65,2.8808
1070,10.7,2.8416
1075,10.75,2.8023
1080,10.8,2.7629
1085,10.85,2.72342
1090,10.9,2.68388
1095,10.95,2.64427
1100,11,2.60461
1105,11.05,2.56492
1110,11.1,2.52521
1115,11.15,2.48548
1120,11.2,2.44576
1125,11.25,2.40607
1130,11.3,2.36642
1135,11.35,2.32685
1140,11.4,2.28737
1145,11.45,2.248
1150,11.5,2.20877
1155,11.55,2.16972
1160,11.6,2.13086
1165,11.65,2.09224
1170,11.7,2.05389
1175,11.75,2.01584
1180,11.8,1.97814
1185,11.85,1.94082
1190,11.9,1.90391
1195,11.95,1.86745
1200,12,1.83148
1205,12.05,1.79604
1210,12.1,1.76117
1215,12.15,1.72691
1220,12.2,1.69332
1225,12.25,1.66043
1230,12.3,1.62829
1235,12.35,1.59697
1240,12.4,1.5665
1245,12.45,1.53694
1250,12.5,1.50835
1255,12.55,1.48079
1260,12.6,1.45432
1265,12.65,1.42902
1270,12.7,1.40494
1275,12.75,1.38216
1280,12.8,1.36075
1285,12.85,1.34077
1290,12.9,1.32227
1295,12.95,1.30529
1300,13,1.28986
1305,13.05,1.27599
1310,13.1,1.26368
1315,13.15,1.25291
1320,13.2,1.24365
1325,13.25,1.23586
1330,13.3,1.2295
1335,13.35,1.22451
1340,13.4,1.22081
1345,13.45,1.21835
1350,13.5,1.21705
1355,13.55,1.21684
1360,13.6,1.21767
1365,13.65,1.21948
1370,13.7,1.22219
1375,13.75,1.22577
1380,13.8,1.23016
1385,13.85,1.2353
1390,13.9,1.24114
1395,13.95,1.24763
1400,14,1.25473
1405,14.05,1.26238
1410,14.1,1.27054
1415,14.15,1.27916
1420,14.2,1.2882
1425,14.25,1.29762
1430,14.3,1.30737
1435,14.35,1.31741
1440,14.4,1.3277
1445,14.45,1.3382
1450,14.5,1.34887
1455,14.55,1.35967
1460,14.6,1.37056
1465,14.65,1.38153
1470,14.7,1.39253
1475,14.75,1.40354
1480,14.8,1.41453
1485,14.85,1.42548
1490,14.9,1.43635
1495,14.95,1.44714
1500,15,1.45783
1505,15.05,1.46838
1510,15.1,1.47878
1515,15.15,1.48902
1520,15.2,1.49907
1525,15.25,1.50894
1530,15.3,1.51859
1535,15.35,1.52802
1540,15.4,1.53721
1545,15.45,1.54617
1550,15.5,1.55487
1555,15.55,1.56332
1560,15.6,1.5715
1565,15.65,1.57941
1570,15.7,1.58704
1575,15.75,1.59439
1580,15.8,1.60147
1585,15.85,1.60826
1590,15.9,1.61478
1595,15.95,1.62102
1600,16,1.62699
1605,16.05,1.63269
1610,16.1,1.63813
1615,16.15,1.64331
1620,16.2,1.64825
1625,16.25,1.65295
1630,16.3,1.65741
1635,16.35,1.66166
1640,16.4,1.66567
1645,16.45,1.66947
1650,16.5,1.67304
1655,16.55,1.6764
1660,16.6,1.67954
1665,16.65,1.68247
1670,16.7,1.68519
1675,16.75,1.68769
1680,16.8,1.68999
1685,16.85,1.69207
1690,16.9,1.69396
1695,16.95,1.69563
1700,17,1.6971
1705,17.05,1.69837
1710,17.1,1.69943
1715,17.15,1.70029
1720,17.2,1.70095
1725,17.25,1.70139
1730,17.3,1.70163
1735,17.35,1.70166
1740,17.4,1.70148
1745,17.45,1.7011
1750,17.5,1.70049
1755,17.55,1.69966
1760,17.6,1.69859
1765,17.65,1.69727
1770,17.7,1.69572
1775,17.75,1.69391
1780,17.8,1.69185
1785,17.85,1.68951
1790,17.9,1.68689
1795,17.95,1.68397
1800,18,1.68076
1805,18.05,1.67724
1810,18.1,1.67341
1815,18.15,1.66932
1820,18.2,1.66505
1825,18.25,1.6608
1830,18.3,1.65673
1835,18.35,1.65294
1840,18.4,1.64948
1845,18.45,1.64637
1850,18.5,1.6436
1855,18.55,1.64117
1860,18.6,1.63908
1865,18.65,1.63732
1870,18.7,1.63588
1875,18.75,1.63476
1880,18.8,1.63394
1885,18.85,1.63343
1890,18.9,1.6332
1895,18.95,1.63326
1900,19,1.63361
1905,19.05,1.63424
1910,19.1,1.63515
1915,19.15,1.63633
1920,19.2,1.63776
1925,19.25,1.63945
1930,19.3,1.64137
