step,time,kinetic,potential,total,Px,Py,Pz,Lx,Ly,Lz
0,0,0.147441712671261,-0.294379496648344,-0.146937783977083,-8.23993651088983e-18,8.89045781438114e-18,1.15670819277047e-17,0.0171037081137703,0.000442397353256954,-0.00893376593214415
40,0.08,0.147449181175705,-0.294386973873343,-0.146937792697638,1.82688066063807e-17,1.35525271560688e-17,1.38371302263463e-17,0.0171037081137702,0.000442397353256953,-0.00893376593214414
80,0.16,0.147451696726175,-0.294389474096002,-0.146937777369828,-5.28548559086683e-18,1.74014448683923e-17,1.38506827535023e-17,0.0171037081137703,0.000442397353256948,-0.00893376593214413
120,0.24,0.147636940006367,-0.29457473153136,-0.146937791524993,-1.54769860122306e-17,6.66784336078585e-18,1.68186862006814e-17,0.0171037081137702,0.000442397353256934,-0.00893376593214414
160,0.32,0.147841904373195,-0.294779693841926,-0.146937789468731,-2.43945488809238e-18,-8.13151629364128e-19,2.73083422194786e-17,0.0171037081137703,0.000442397353256929,-0.00893376593214415
200,0.4,0.148018105250631,-0.294955901165809,-0.146937795915177,-4.0386530925085e-18,3.08997619158369e-18,2.87178050437098e-17,0.0171037081137702,0.000442397353256944,-0.00893376593214415
240,0.48,0.148128227239057,-0.295066013660628,-0.146937786421571,-2.23616698075135e-18,-3.25260651745651e-19,2.26327203506349e-17,0.0171037081137703,0.000442397353256931,-0.00893376593214415
280,0.56,0.148299378059166,-0.295237163729309,-0.146937785670143,-3.5643146420461e-18,3.90312782094782e-18,2.5804011705155e-17,0.0171037081137702,0.000442397353256948,-0.00893376593214418
320,0.64,0.148512974527783,-0.295450766970368,-0.146937792442585,-7.11507675693612e-18,8.61940727125976e-18,2.91379333855479e-17,0.0171037081137702,0.000442397353256943,-0.00893376593214417
360,0.72,0.148673853925728,-0.295611650300479,-0.14693779637475,-1.35525271560688e-18,-4.87890977618477e-18,2.2849560785132e-17,0.0171037081137703,0.000442397353256942,-0.00893376593214417
400,0.8,0.148768214007095,-0.295705995953556,-0.146937781946461,-6.69494841509799e-18,-3.25260651745651e-19,3.10352871873976e-17,0.0171037081137703,0.000442397353256967,-0.00893376593214418
440,0.88,0.148959011215037,-0.295896814635336,-0.146937803420299,-2.0870891820346e-18,3.84891771232354e-18,3.10894972960218e-17,0.0171037081137703,0.000442397353256978,-0.00893376593214418
480,0.96,0.1490680451668,-0.296005823668012,-0.146937778501212,-8.50082265864416e-18,-2.65629532258949e-18,2.70237391492012e-17,0.0171037081137702,0.000442397353256982,-0.00893376593214417
520,1.04,0.149274376066064,-0.296212165559161,-0.146937789493097,-1.54769860122306e-17,5.55653613398821e-18,3.16315983822646e-17,0.0171037081137703,0.000442397353256984,-0.00893376593214418
560,1.12,0.149457090489281,-0.296394882594656,-0.146937792105375,3.3085106919753e-18,4.22838847269347e-18,2.95174041459179e-17,0.0171037081137702,0.000442397353256989,-0.00893376593214418
600,1.2,0.149566684862793,-0.29650447721936,-0.146937792356567,5.1211611990995e-18,1.46367293285543e-17,2.86500424079295e-17,0.0171037081137703,0.000442397353256986,-0.00893376593214419
640,1.28,0.149667747451828,-0.296605543480912,-0.146937796029084,-2.11842940108301e-18,5.33969569949111e-18,3.25260651745651e-17,0.0171037081137702,0.000442397353256985,-0.00893376593214416
680,1.36,0.149760825361428,-0.296698614968898,-0.14693778960747,2.86805355940306e-18,8.2534890380459e-18,2.70237391492012e-17,0.0171037081137703,0.000442397353256992,-0.00893376593214417
720,1.44,0.149874249902945,-0.296812041849719,-0.146937791946773,-6.97616335358642e-18,1.29155583797336e-17,3.73778698964378e-17,0.0171037081137703,0.000442397353256989,-0.00893376593214418
760,1.52,0.149999653430078,-0.2969374498973,-0.146937796467222,-4.35713748067612e-18,9.20216593897072e-18,3.61852475067037e-17,0.0171037081137703,0.000442397353256991,-0.00893376593214417
800,1.6,0.15003564132679,-0.296973423201122,-0.146937781874332,-3.53043332415592e-18,7.15149917366806e-18,3.664603343001e-17,0.0171037081137703,0.000442397353256995,-0.00893376593214418
840,1.68,0.150081442753471,-0.297019241003043,-0.146937798249572,1.10182045778839e-17,1.68051336735253e-18,4.42625536917207e-17,0.0171037081137703,0.000442397353257003,-0.00893376593214419
880,1.76,0.150046689612639,-0.296984481747117,-0.146937792134478,-7.29803587354305e-18,8.07730618501701e-18,3.94378540241602e-17,0.0171037081137702,0.000442397353256974,-0.00893376593214418
920,1.84,0.149981225146227,-0.296919018683203,-0.146937793536975,1.79570984817912e-18,9.26992857475106e-18,3.39897381074206e-17,0.0171037081137703,0.000442397353256975,-0.00893376593214419
960,1.92,0.149874608221278,-0.296812397623504,-0.146937789402226,1.1221492485225e-17,8.61940727125976e-18,3.43963139221026e-17,0.0171037081137703,0.000442397353256961,-0.00893376593214417
1000,2,0.149804616918855,-0.296742404359955,-0.1469377874411,1.3389896830196e-17,1.36338423190052e-17,4.42218961102525e-17,0.0171037081137703,0.00044239735325696,-0.00893376593214417
1040,2.08,0.149759875343295,-0.296697661764021,-0.146937786420726,1.58429042454444e-17,6.15284732885524e-18,4.82334441484489e-17,0.0171037081137703,0.000442397353256982,-0.00893376593214417
1080,2.16,0.14977820080689,-0.296716013405472,-0.146937812598583,4.30970363562988e-18,2.04643160056639e-17,3.77708931839638e-17,0.0171037081137703,0.000442397353256977,-0.00893376593214417
1120,2.24,0.149716363249583,-0.296654155965927,-0.146937792716344,1.65069780760918e-17,9.05308814025396e-18,4.17959937493162e-17,0.0171037081137703,0.000442397353256967,-0.0089337659321442
1160,2.32,0.149628063702858,-0.296565864092558,-0.146937800389701,4.90601483049691e-18,1.68322387278375e-17,5.2190782078021e-17,0.0171037081137703,0.000442397353256971,-0.00893376593214418
1200,2.4,0.149409594463392,-0.296347378807413,-0.146937784344021,-1.27393755267047e-18,2.42861286636753e-17,4.77455531708304e-17,0.0171037081137703,0.000442397353256983,-0.0089337659321442
1240,2.48,0.149247205321415,-0.296185001974018,-0.146937796652603,7.37257477290143e-18,1.66425033476525e-17,5.31394589789458e-17,0.0171037081137703,0.000442397353257002,-0.00893376593214419
1280,2.56,0.14908257453738,-0.296020356612333,-0.146937782074953,1.32814766129474e-18,2.15756232324615e-17,5.83165243525641e-17,0.0171037081137703,0.000442397353256979,-0.00893376593214417
1320,2.64,0.149030711579133,-0.295968495781882,-0.146937784202749,-2.76471553983804e-18,1.62088224786583e-17,4.4913074995212e-17,0.0171037081137703,0.000442397353257001,-0.00893376593214418
1360,2.72,0.149037818246762,-0.295975616132311,-0.146937797885549,9.40545384631175e-18,9.75781955236954e-18,4.93176463209344e-17,0.0171037081137703,0.000442397353256989,-0.00893376593214417
1400,2.8,0.148922509739211,-0.295860304627911,-0.146937794888701,1.35525271560688e-19,2.20093041014557e-17,4.44455128083276e-17,0.0171037081137703,0.000442397353257,-0.00893376593214419
1440,2.88,0.148793621163371,-0.295731403169847,-0.146937782006476,7.67073037033494e-18,7.26415455565288e-18,3.72897784699233e-17,0.0171037081137703,0.000442397353257013,-0.00893376593214417
1480,2.96,0.148771991732805,-0.295709778228897,-0.146937786496092,7.80625564189563e-18,1.75098650856409e-17,3.53111095051373e-17,0.0171037081137703,0.000442397353257006,-0.0089337659321442
1520,3.04,0.148777995289335,-0.295715789785081,-0.146937794495745,1.26309553094561e-17,1.76724954115137e-17,3.92210135896631e-17,0.0171037081137702,0.000442397353257012,-0.0089337659321442
1560,3.12,0.14872968041184,-0.295667465339874,-0.146937784928034,8.34835672813838e-18,2.06540513858489e-17,4.56482995934288e-17,0.0171037081137703,0.000442397353257017,-0.0089337659321442
1600,3.2,0.148736701745068,-0.295674496224656,-0.146937794479588,9.26992857475106e-18,2.12503625807159e-17,3.91852264476416e-17,0.0171037081137703,0.00044239735325702,-0.00893376593214422
1640,3.28,0.148696702596445,-0.295634492013892,-0.146937789417447,1.18720137887163e-17,1.57209315010398e-17,4.00447531308679e-17,0.0171037081137703,0.00044239735325702,-0.00893376593214422
1680,3.36,0.14863830068026,-0.295576098034822,-0.146937797354562,1.23599047663348e-17,1.79977560632594e-17,4.68604037409497e-17,0.0171037081137703,0.000442397353257017,-0.00893376593214421
1720,3.44,0.148502502706163,-0.295440293080711,-0.146937790374548,1.23056946577105e-17,1.12757025938492e-17,4.45505448937872e-17,0.0171037081137703,0.000442397353257012,-0.00893376593214421
1760,3.52,0.148322257350775,-0.29526004586678,-0.146937788516005,1.37151574819416e-17,2.09251019289702e-17,3.8401085696721e-17,0.0171037081137703,0.000442397353257005,-0.00893376593214423
1800,3.6,0.148152265321756,-0.295090058390519,-0.146937793068763,1.05709711817337e-17,6.28837260041593e-18,4.50486002667727e-17,0.0171037081137703,0.000442397353257003,-0.00893376593214422
1840,3.68,0.147991901617108,-0.294929696578629,-0.146937794961521,1.29562159612018e-17,1.01915004213637e-17,4.40931471022699e-17,0.0171037081137703,0.000442397353257012,-0.00893376593214422
1880,3.76,0.147822586408518,-0.294760374916373,-0.146937788507855,2.42861286636753e-17,1.48535697630514e-17,5.20959143879285e-17,0.0171037081137702,0.000442397353257014,-0.00893376593214422
