step,time,kinetic,potential,total,Px,Py,Pz,Lx,Ly,Lz
0,0,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
20,0.1,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
40,0.2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
60,0.3,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
80,0.4,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
100,0.5,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
120,0.6,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
140,0.7,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
160,0.8,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
180,0.9,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
200,1,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
220,1.1,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
240,1.2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
260,1.3,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
280,1.4,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
300,1.5,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
320,1.6,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
340,1.7,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
360,1.8,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
380,1.9,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
400,2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
420,2.1,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
440,2.2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
460,2.3,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
480,2.4,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
500,2.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
520,2.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
540,2.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
560,2.8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
580,2.9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
600,3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
620,3.1,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
640,3.2,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
660,3.3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
680,3.4,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
700,3.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
720,3.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
740,3.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
