step,time,id,x,y,z,vx,vy,vz
0,0,0,-0.62161,0,0.783327,-0.22115,-0.412668,-0.175494
0,0,1,0.62161,0,-0.783327,0.22115,0.412668,0.175494
20,0.1,0,-0.642939,-0.0412496,0.764806,-0.20534,-0.412152,-0.194849
20,0.1,1,0.642939,0.0412496,-0.764806,0.20534,0.412152,0.194849
40,0.2,0,-0.662661,-0.0823962,0.744373,-0.189016,-0.410606,-0.213718
40,0.2,1,0.662661,0.0823962,-0.744373,0.189016,0.410606,0.213718
60,0.3,0,-0.680726,-0.123337,0.72208,-0.17222,-0.408034,-0.232053
60,0.3,1,0.680726,0.123337,-0.72208,0.17222,0.408034,0.232053
80,0.4,0,-0.697091,-0.163969,0.697982,-0.154994,-0.404442,-0.249807
80,0.4,1,0.697091,0.163969,-0.697982,0.154994,0.404442,0.249807
100,0.5,0,-0.711712,-0.204192,0.672139,-0.13738,-0.399839,-0.266937
100,0.5,1,0.711712,0.204192,-0.672139,0.13738,0.399839,0.266937
120,0.6,0,-0.724555,-0.243904,0.644617,-0.119423,-0.394237,-0.2834
120,0.6,1,0.724555,0.243904,-0.644617,0.119423,0.394237,0.2834
140,0.7,0,-0.735587,-0.283006,0.615483,-0.101168,-0.387649,-0.299154
140,0.7,1,0.735587,0.283006,-0.615483,0.101168,0.387649,0.299154
160,0.8,0,-0.74478,-0.321401,0.584811,-0.0826594,-0.380092,-0.314161
160,0.8,1,0.74478,0.321401,-0.584811,0.0826594,0.380092,0.314161
180,0.9,0,-0.752112,-0.358993,0.552677,-0.0639443,-0.371586,-0.328383
180,0.9,1,0.752112,0.358993,-0.552677,0.0639443,0.371586,0.328383
200,1,0,-0.757564,-0.395687,0.519162,-0.0450695,-0.36215,-0.341784
200,1,1,0.757564,0.395687,-0.519162,0.0450695,0.36215,0.341784
220,1.1,0,-0.761122,-0.431393,0.484349,-0.026082,-0.351809,-0.35433
220,1.1,1,0.761122,0.431393,-0.484349,0.026082,0.351809,0.35433
240,1.2,0,-0.762778,-0.46602,0.448325,-0.00702927,-0.340589,-0.365991
240,1.2,1,0.762778,0.46602,-0.448325,0.00702927,0.340589,0.365991
260,1.3,0,-0.762528,-0.499482,0.411181,0.012041,-0.328518,-0.376737
260,1.3,1,0.762528,0.499482,-0.411181,-0.012041,0.328518,0.376737
280,1.4,0,-0.760371,-0.531696,0.373009,0.0310812,-0.315626,-0.386541
280,1.4,1,0.760371,0.531696,-0.373009,-0.0310812,0.315626,0.386541
300,1.5,0,-0.756314,-0.562581,0.333905,0.0500437,-0.301944,-0.39538
300,1.5,1,0.756314,0.562581,-0.333905,-0.0500437,0.301944,0.39538
320,1.6,0,-0.750366,-0.59206,0.293966,0.068881,-0.287508,-0.40323
320,1.6,1,0.750366,0.59206,-0.293966,-0.068881,0.287508,0.40323
340,1.7,0,-0.742543,-0.620059,0.253292,0.0875463,-0.272354,-0.410072
340,1.7,1,0.742543,0.620059,-0.253292,-0.0875463,0.272354,0.410072
360,1.8,0,-0.732864,-0.646508,0.211986,0.105993,-0.256518,-0.415889
360,1.8,1,0.732864,0.646508,-0.211986,-0.105993,0.256518,0.415889
380,1.9,0,-0.721354,-0.671341,0.170149,0.124174,-0.240042,-0.420667
380,1.9,1,0.721354,0.671341,-0.170149,-0.124174,0.240042,0.420667
400,2,0,-0.70804,-0.694497,0.127887,0.142045,-0.222965,-0.424393
400,2,1,0.70804,0.694497,-0.127887,-0.142045,0.222965,0.424393
420,2.1,0,-0.692956,-0.715916,0.0853058,0.159561,-0.205332,-0.427058
420,2.1,1,0.692956,0.715916,-0.0853058,-0.159561,0.205332,0.427058
440,2.2,0,-0.676141,-0.735546,0.0425111,0.176679,-0.187185,-0.428656
440,2.2,1,0.676141,0.735546,-0.0425111,-0.176679,0.187185,0.428656
460,2.3,0,-0.657635,-0.753337,-0.000389821,0.193354,-0.16857,-0.429183
460,2.3,1,0.657635,0.753337,0.000389821,-0.193354,0.16857,0.429183
480,2.4,0,-0.637486,-0.769246,-0.0432898,0.209546,-0.149534,-0.428637
480,2.4,1,0.637486,0.769246,0.0432898,-0.209546,0.149534,0.428637
500,2.5,0,-0.615744,-0.783232,-0.0860815,0.225215,-0.130124,-0.427019
500,2.5,1,0.615744,0.783232,0.0860815,-0.225215,0.130124,0.427019
520,2.6,0,-0.592462,-0.79526,-0.128658,0.240321,-0.110389,-0.424334
520,2.6,1,0.592462,0.79526,0.128658,-0.240321,0.110389,0.424334
540,2.7,0,-0.567699,-0.8053,-0.170913,0.254826,-0.0903774,-0.420589
540,2.7,1,0.567699,0.8053,0.170913,-0.254826,0.0903774,0.420589
560,2.8,0,-0.541518,-0.813328,-0.212741,0.268694,-0.0701404,-0.415792
560,2.8,1,0.541518,0.813328,0.212741,-0.268694,0.0701404,0.415792
580,2.9,0,-0.513983,-0.819323,-0.254037,0.28189,-0.0497281,-0.409956
580,2.9,1,0.513983,0.819323,0.254037,-0.28189,0.0497281,0.409956
600,3,0,-0.485163,-0.823269,-0.294698,0.294382,-0.0291916,-0.403096
600,3,1,0.485163,0.823269,0.294698,-0.294382,0.0291916,0.403096
620,3.1,0,-0.455131,-0.825158,-0.334623,0.306138,-0.00858203,-0.395228
620,3.1,1,0.455131,0.825158,0.334623,-0.306138,0.00858203,0.395228
640,3.2,0,-0.423961,-0.824985,-0.373711,0.317129,0.012049,-0.386372
640,3.2,1,0.423961,0.824985,0.373711,-0.317129,-0.012049,0.386372
660,3.3,0,-0.391732,-0.82275,-0.411865,0.327327,0.0326498,-0.37655
660,3.3,1,0.391732,0.82275,0.411865,-0.327327,-0.0326498,0.37655
680,3.4,0,-0.358523,-0.818458,-0.44899,0.336707,0.0531691,-0.365787
680,3.4,1,0.358523,0.818458,0.44899,-0.336707,-0.0531691,0.365787
700,3.5,0,-0.324418,-0.81212,-0.484992,0.345246,0.0735554,-0.35411
700,3.5,1,0.324418,0.81212,0.484992,-0.345246,-0.0735554,0.35411
720,3.6,0,-0.289502,-0.803753,-0.519782,0.352921,0.0937579,-0.341548
720,3.6,1,0.289502,0.803753,0.519782,-0.352921,-0.0937579,0.341548
740,3.7,0,-0.253863,-0.793376,-0.553273,0.359715,0.113726,-0.328132
740,3.7,1,0.253863,0.793376,0.553273,-0.359715,-0.113726,0.328132
760,3.8,0,-0.217589,-0.781017,-0.585381,0.365609,0.13341,-0.313896
760,3.8,1,0.217589,0.781017,0.585381,-0.365609,-0.13341,0.313896
780,3.9,0,-0.180772,-0.766706,-0.616026,0.37059,0.15276,-0.298875
780,3.9,1,0.180772,0.766706,0.616026,-0.37059,-0.15276,0.298875
800,4,0,-0.143502,-0.750478,-0.645132,0.374644,0.171729,-0.283108
800,4,1,0.143502,0.750478,0.645132,-0.374644,-0.171729,0.283108
820,4.1,0,-0.105874,-0.732374,-0.672624,0.377762,0.190268,-0.266632
820,4.1,1,0.105874,0.732374,0.672624,-0.377762,-0.190268,0.266632
840,4.2,0,-0.0679813,-0.71244,-0.698436,0.379935,0.208332,-0.249491
840,4.2,1,0.0679813,0.71244,0.698436,-0.379935,-0.208332,0.249491
860,4.3,0,-0.0299185,-0.690725,-0.722502,0.381159,0.225875,-0.231725
860,4.3,1,0.0299185,0.690725,0.722502,-0.381159,-0.225875,0.231725
880,4.4,0,0.00821894,-0.667284,-0.744762,0.381431,0.242854,-0.213381
880,4.4,1,-0.00821894,0.667284,0.744762,-0.381431,-0.242854,0.213381
900,4.5,0,0.0463359,-0.642174,-0.76516,0.380749,0.259225,-0.194503
900,4.5,1,-0.0463359,0.642174,0.76516,-0.380749,-0.259225,0.194503
920,4.6,0,0.084337,-0.61546,-0.783646,0.379115,0.274949,-0.175139
920,4.6,1,-0.084337,0.61546,0.783646,-0.379115,-0.274949,0.175139
940,4.7,0,0.122127,-0.587207,-0.800174,0.376534,0.289985,-0.155337
940,4.7,1,-0.122127,0.587207,0.800174,-0.376534,-0.289985,0.155337
960,4.8,0,0.159612,-0.557487,-0.814701,0.373011,0.304297,-0.135148
960,4.8,1,-0.159612,0.557487,0.814701,-0.373011,-0.304297,0.135148
980,4.9,0,0.196699,-0.526373,-0.827192,0.368556,0.317848,-0.11462
980,4.9,1,-0.196699,0.526373,0.827192,-0.368556,-0.317848,0.11462
1000,5,0,0.233293,-0.493944,-0.837615,0.36318,0.330604,-0.0938055
1000,5,1,-0.233293,0.493944,0.837615,-0.36318,-0.330604,0.0938055
1020,5.1,0,0.269304,-0.46028,-0.845945,0.356897,0.342534,-0.0727568
1020,5.1,1,-0.269304,0.46028,0.845945,-0.356897,-0.342534,0.0727568
1040,5.2,0,0.304643,-0.425466,-0.852161,0.349721,0.353608,-0.0515263
1040,5.2,1,-0.304643,0.425466,0.852161,-0.349721,-0.353608,0.0515263
1060,5.3,0,0.33922,-0.389588,-0.856246,0.341671,0.363799,-0.030167
1060,5.3,1,-0.33922,0.389588,0.856246,-0.341671,-0.363799,0.030167
1080,5.4,0,0.372949,-0.352736,-0.858191,0.332767,0.373079,-0.00873222
1080,5.4,1,-0.372949,0.352736,0.858191,-0.332767,-0.373079,0.00873222
1100,5.5,0,0.405745,-0.315003,-0.857992,0.323032,0.381428,0.0127243
1100,5.5,1,-0.405745,0.315003,0.857992,-0.323032,-0.381428,-0.0127243
1120,5.6,0,0.437528,-0.276482,-0.855648,0.312489,0.388823,0.0341491
1120,5.6,1,-0.437528,0.276482,0.855648,-0.312489,-0.388823,-0.0341491
1140,5.7,0,0.468217,-0.237271,-0.851165,0.301164,0.395246,0.0554885
1140,5.7,1,-0.468217,0.237271,0.851165,-0.301164,-0.395246,-0.0554885
1160,5.8,0,0.497736,-0.197466,-0.844555,0.289088,0.400681,0.0766892
1160,5.8,1,-0.497736,0.197466,0.844555,-0.289088,-0.400681,-0.0766892
1180,5.9,0,0.526011,-0.157168,-0.835833,0.276288,0.405115,0.0976982
1180,5.9,1,-0.526011,0.157168,0.835833,-0.276288,-0.405115,-0.0976982
1200,6,0,0.552971,-0.116476,-0.825023,0.262798,0.408536,0.118463
1200,6,1,-0.552971,0.116476,0.825023,-0.262798,-0.408536,-0.118463
1220,6.1,0,0.578548,-0.0754942,-0.812151,0.248652,0.410937,0.138932
1220,6.1,1,-0.578548,0.0754942,0.812151,-0.248652,-0.410937,-0.138932
1240,6.2,0,0.60268,-0.0343233,-0.797248,0.233883,0.41231,0.159053
1240,6.2,1,-0.60268,0.0343233,0.797248,-0.233883,-0.41231,-0.159053
1260,6.3,0,0.625306,0.00693338,-0.780353,0.21853,0.412652,0.178777
