step,time,kinetic,potential,total,Px,Py
0,0,0.499988,0.69316,1.19315,0,0
20,0.1,0.499987,0.69316,1.19315,0,0
40,0.2,0.499987,0.69316,1.19315,0,0
60,0.3,0.499987,0.69316,1.19315,0,0
80,0.4,0.499987,0.69316,1.19315,0,0
100,0.5,0.499987,0.69316,1.19315,0,0
120,0.6,0.499987,0.69316,1.19315,0,0
140,0.7,0.499987,0.69316,1.19315,0,0
160,0.8,0.499987,0.69316,1.19315,0,0
180,0.9,0.499987,0.69316,1.19315,0,0
200,1,0.499987,0.69316,1.19315,0,0
220,1.1,0.499987,0.693161,1.19315,0,0
240,1.2,0.499987,0.693161,1.19315,0,0
260,1.3,0.499986,0.693161,1.19315,0,0
280,1.4,0.499986,0.693161,1.19315,0,0
300,1.5,0.499986,0.693161,1.19315,0,0
320,1.6,0.499986,0.693161,1.19315,0,0
340,1.7,0.499986,0.693161,1.19315,0,0
360,1.8,0.499986,0.693162,1.19315,0,0
380,1.9,0.499985,0.693162,1.19315,0,0
400,2,0.499985,0.693162,1.19315,0,0
420,2.1,0.499985,0.693162,1.19315,0,0
440,2.2,0.499985,0.693162,1.19315,0,0
460,2.3,0.499985,0.693162,1.19315,0,0
480,2.4,0.499985,0.693162,1.19315,0,0
500,2.5,0.499985,0.693162,1.19315,0,0
520,2.6,0.499985,0.693163,1.19315,0,0
540,2.7,0.499985,0.693163,1.19315,0,0
560,2.8,0.499984,0.693163,1.19315,0,0
580,2.9,0.499984,0.693163,1.19315,0,0
600,3,0.499984,0.693163,1.19315,0,0
620,3.1,0.499984,0.693163,1.19315,0,0
640,3.2,0.499984,0.693163,1.19315,0,0
660,3.3,0.499984,0.693163,1.19315,0,0
680,3.4,0.499984,0.693163,1.19315,0,0
700,3.5,0.499984,0.693163,1.19315,0,0
720,3.6,0.499985,0.693163,1.19315,0,0
740,3.7,0.499985,0.693163,1.19315,0,0
760,3.8,0.499985,0.693162,1.19315,0,0
780,3.9,0.499985,0.693162,1.19315,0,0
800,4,0.499985,0.693162,1.19315,0,0
