step,time,id,x,y,vx,vy
0,0,0,-1,0,0,-0.707098
0,0,1,1,0,0,0.707098
20,0.1,0,-0.997501,-0.070651,0.049957,-0.705331
20,0.1,1,0.997501,0.070651,-0.049957,0.705331
40,0.2,0,-0.990017,-0.140949,0.0996644,-0.700039
40,0.2,1,0.990017,0.140949,-0.0996644,0.700039
60,0.3,0,-0.977585,-0.210542,0.148874,-0.691248
60,0.3,1,0.977585,0.210542,-0.148874,0.691248
80,0.4,0,-0.960267,-0.279084,0.197339,-0.679003
80,0.4,1,0.960267,0.279084,-0.197339,0.679003
100,0.5,0,-0.93815,-0.34623,0.244818,-0.663364
100,0.5,1,0.93815,0.34623,-0.244818,0.663364
120,0.6,0,-0.911344,-0.411646,0.291073,-0.644409
120,0.6,1,0.911344,0.411646,-0.291073,0.644409
140,0.7,0,-0.879984,-0.475005,0.335874,-0.622235
140,0.7,1,0.879984,0.475005,-0.335874,0.622235
160,0.8,0,-0.844225,-0.53599,0.378996,-0.59695
160,0.8,1,0.844225,0.53599,-0.378996,0.59695
180,0.9,0,-0.804247,-0.594296,0.420224,-0.568682
180,0.9,1,0.804247,0.594296,-0.420224,0.568682
200,1,0,-0.76025,-0.649632,0.459351,-0.537571
200,1,1,0.76025,0.649632,-0.459351,0.537571
220,1.1,0,-0.712453,-0.701721,0.496183,-0.503774
220,1.1,1,0.712453,0.701721,-0.496183,0.503774
240,1.2,0,-0.661096,-0.750303,0.530535,-0.46746
240,1.2,1,0.661096,0.750303,-0.530535,0.46746
260,1.3,0,-0.606434,-0.795135,0.562236,-0.428809
260,1.3,1,0.606434,0.795135,-0.562236,0.428809
280,1.4,0,-0.548742,-0.835993,0.591127,-0.388015
280,1.4,1,0.548742,0.835993,-0.591127,0.388015
300,1.5,0,-0.488307,-0.872673,0.617063,-0.345282
300,1.5,1,0.488307,0.872673,-0.617063,0.345282
320,1.6,0,-0.425432,-0.904992,0.639915,-0.300823
320,1.6,1,0.425432,0.904992,-0.639915,0.300823
340,1.7,0,-0.360431,-0.932788,0.65957,-0.25486
340,1.7,1,0.360431,0.932788,-0.65957,0.25486
360,1.8,0,-0.293628,-0.955922,0.675927,-0.207624
360,1.8,1,0.293628,0.955922,-0.675927,0.207624
380,1.9,0,-0.225358,-0.974278,0.688907,-0.159351
380,1.9,1,0.225358,0.974278,-0.688907,0.159351
400,2,0,-0.155961,-0.987765,0.698444,-0.110281
400,2,1,0.155961,0.987765,-0.698444,0.110281
420,2.1,0,-0.0857849,-0.996316,0.70449,-0.0606594
420,2.1,1,0.0857849,0.996316,-0.70449,0.0606594
